-7w9qsazt8o-00002-00000475-00000847 感想が一つありつつと
BOSKTOs08VQ-00088-00033900-00034190 森さんも打ち取られそう
BOSKTOs08VQ-00090-00034328-00035295 2対1だし。
BOSKTOs08VQ-00095-00036732-00037311 あ、一瞬や。向こう強いな。
BOSKTOs08VQ-00096-00037312-00037857 さあ結婚バイト
BOSKTOs08VQ-00099-00038388-00038794 うわーサネがー
BOSKTOs08VQ-00104-00039990-00040402 あの
BOSKTOs08VQ-00105-00040403-00040887 防衛が一人でできるっていうのはもうちょっと厳しいな
BOSKTOs08VQ-00107-00041040-00041431 こっちも6割ぐらいは削れてたよね
BOSKTOs08VQ-00108-00041432-00041872 6割ぐらいは削れてましたけど、あれ一人で
BOSKTOs08VQ-00109-00041873-00042127 あ、見えない
BOSKTOs08VQ-00111-00042380-00042834 皆さんご厚みの方もよろしくお願いします
BOSKTOs08VQ-00113-00043113-00043338 なんかバズってまいったね
BOSKTOs08VQ-00114-00043339-00043787 最後2発しか当てれんかったな
BOSKTOs08VQ-00115-00043788-00044168 あーこの人ストーリーか
BOSKTOs08VQ-00116-00044169-00044662 でも惜しかったよ。ほんま惜しかったと思う。
BOSKTOs08VQ-00117-00044663-00044974 この影って人かな?うん、影さん
BOSKTOs08VQ-00118-00044975-00045319 アゲさん強かったねー
BOSKTOs08VQ-00119-00045320-00045485 パパ
BOSKTOs08VQ-00121-00045777-00046069 あの負けたんですよ
BOSKTOs08VQ-00122-00046070-00046480 面白かった!いい勝負した!
BOSKTOs08VQ-00123-00046481-00046784 ただちょっとパッとガッツみたいです
BOSKTOs08VQ-00125-00046977-00047671 パソカカシオやキキは死んでもこっちに戻ってきてたんだよねバゲの方に
BQOkJLuisYI-00007-00007059-00008697 ご視聴ありがとうございました
BQOkJLuisYI-00017-00015810-00016397 日本語同時通訳はコミュニティメンバーの数が多くにします
BQOkJLuisYI-00018-00016398-00016698 やっとヘルメットが取れました
BQOkJLuisYI-00019-00016699-00017157 皆さん、Mautic Conference 2021
BQOkJLuisYI-00020-00017158-00017422 ようこそ
BQOkJLuisYI-00021-00017423-00017901 前回のイベントから7ヶ月経ちました
BQOkJLuisYI-00022-00017902-00018522 前回のイベントはしょうがなくオンラインにすることになったんですけれども
BQOkJLuisYI-00023-00018523-00019185 しかし前回のフォーマットがすごく成功したために今回もバーチャルで行うことに
BQOkJLuisYI-00024-00019186-00019743 しました2回目のオンライングローバル カンファレンス大きく強くなった
BQOkJLuisYI-00025-00019744-00019935 イベントとなりました
BQOkJLuisYI-00026-00019936-00020533 しかしですね 昔のような現地のイベントも
BQOkJLuisYI-00027-00020534-00021069 恋しい人がいるかもしれませんそれらも カンファレンススプリントとして戻ってくる
BQOkJLuisYI-00028-00021070-00021180 予定です
BQOkJLuisYI-00029-00021181-00021744 しかしこのグローバルのコミュニティと一つの場所でつながることができるというのが
BQOkJLuisYI-00030-00021745-00021902 素晴らしいことだと思うので
BQOkJLuisYI-00031-00021903-00022244 今回やりますこういうことになりました まず
BQOkJLuisYI-00032-00022245-00022655 公式サイトからのアジェンダをご覧ください
BQOkJLuisYI-00034-00022766-00023452 ちょっと気をつけていただいたのはこれらのアジェンダの時間は皆さんのパソコンの
BQOkJLuisYI-00035-00023453-00023935 ローカルの現地時間で表示される ので私の画面とはちょっと時間が違います
BQOkJLuisYI-00036-00023936-00024544 をつけてくださいそして今回2日間 にわたって行われます
BQOkJLuisYI-00037-00024545-00024764 スクロールし、そして各セッションの
BQOkJLuisYI-00038-00024765-00025130 をクリックすると詳細をご覧いただけ ます
BQOkJLuisYI-00039-00025131-00025447 もしもモバイルでアクセスされている人
BQOkJLuisYI-00040-00025448-00025990 モバイルアプリを起動することができます スマホでアクセスしている人はいろいろ
BQOkJLuisYI-00041-00025991-00026192 検索するオプション
BQOkJLuisYI-00042-00026193-00026798 スピーカーを検索したり そして 言語で検索したり 日本語でも検索できます
BQOkJLuisYI-00043-00026799-00027598 そしてそこから実際のトークにナビゲートすることができます
BQOkJLuisYI-00044-00027599-00028150 今回5トラックがあるんですけれどもその一つがインターナショナルトラックとして用意されています
BQOkJLuisYI-00045-00028151-00028877 日本語、ハンガリー語、ドイツ語、ポルトガル語で用意されています。
BQOkJLuisYI-00046-00028877-00029527 4トラックが英語になってたくさんのコンテンツが今回用意されています
BQOkJLuisYI-00048-00029810-00030536 これらのトークは後でイベントの後で youtube として公開をします
BQOkJLuisYI-00049-00030537-00030889 スペシャルなトークをちょっと紹介しましょう
BQOkJLuisYI-00050-00030891-00031468 まず今日の9時からルースチーズリーさんとデリースブートヤードさんによるオープン
BQOkJLuisYI-00051-00031469-00031682 ソースの資金調達の仕方
BQOkJLuisYI-00052-00031683-00032210 そして2日目10時なんですけれどもマウンティックコミュニティカウンセリングパネルとして
BQOkJLuisYI-00053-00032211-00032535 コミュニティメンバーの重要な メンバーがいろいろコミュニティ
BQOkJLuisYI-00054-00032536-00032907 コミュニティに関するクエスチョン に対して紹介していったりとします
BQOkJLuisYI-00055-00032908-00033255 そして夜3時からルシズリさん
BQOkJLuisYI-00056-00033256-00033755 プロジェクトリードによるマウンティックの
BQOkJLuisYI-00057-00033756-00034367 現在未来ロードマップを紹介するキーノートが行われます
BQOkJLuisYI-00058-00034368-00034649 そしてコミュニティルームです
BQOkJLuisYI-00059-00034650-00035306 コミュニティルームは色々なコミュニティ活動に関することが話されます
BQOkJLuisYI-00060-00035307-00035462 まずはですね
BQOkJLuisYI-00061-00035463-00035682 各チームの
BQOkJLuisYI-00062-00035683-00035985 紹介を5分のライトニングと
BQOkJLuisYI-00063-00035986-00036378 紹介をしていきますコミュニティマーケティング
BQOkJLuisYI-00064-00036379-00037095 教育 プロダクトチームそれらのチームの紹介を行いますもしも興味がある人
BQOkJLuisYI-00065-00037096-00037650 どうやったらコミュニティ活動に参加できるか紹介しています
BQOkJLuisYI-00067-00037682-00038067 トニングトークは今からすぐスタートします
BQOkJLuisYI-00069-00038435-00039043 そして2日目明日はターゲットチームを紹介します
BQOkJLuisYI-00070-00039044-00039472 MaoTechの中でも新しいコンセプトなどでちょっと紹介します
BQOkJLuisYI-00071-00039473-00040212 ターゲットチームは小さいチームかつ特定の分野に特化したチームとなります
BQOkJLuisYI-00072-00040213-00040433 例えばコンタクトレポートなど
BQOkJLuisYI-00073-00040434-00040842 特定の機能に絞って行います
BQOkJLuisYI-00074-00040843-00041458 ジョインするためには特別なスキルが必要というわけではありません
BQOkJLuisYI-00075-00041459-00042136 コーディングだけができる人だけではなく他のスキルを持った人も参加できます
BQOkJLuisYI-00076-00042137-00042580 マウティックのすべてを知る必要はありませんオープンソースのコントリビュート
BQOkJLuisYI-00077-00042581-00042871 最初のスターティングポイントとして
BQOkJLuisYI-00078-00042872-00043211 ターゲットチームいかがでしょうか
BQOkJLuisYI-00082-00044581-00044803 ターゲットチームの紹介です
BQOkJLuisYI-00083-00044804-00045121 キャンペーンやウェブフック、Eメール
BQOkJLuisYI-00084-00045122-00045433 フォーカスアイテムとダイナミックウェブコンテント
BQOkJLuisYI-00085-00045434-00045916 ユーザーインターフェースこの4つのターゲットチームが今あります
BQOkJLuisYI-00086-00045917-00046420 このターゲットチームのコンセプトでよりよくマグマティックを成長できる
BQOkJLuisYI-00087-00046421-00046802 と思っています
BQOkJLuisYI-00088-00046803-00047320 トークを行います そして それらに 興味を持った人 ネットワークエリア
BQOkJLuisYI-00089-00047321-00047851 集まって話し合いをしますのでぜひとも参加してください
BQOkJLuisYI-00090-00047852-00048134 プレゼンテーションに参加しライブミーティング
BQOkJLuisYI-00091-00048135-00048338 ネットワーキングでの
BQOkJLuisYI-00092-00048339-00048866 に参加してくださいこれらのターゲット地位一度参加するとそれに占有しなければ
BQOkJLuisYI-00093-00048867-00049394 いけないわけでなくいくつのターゲット チームに参加することができます
BQOkJLuisYI-00094-00049395-00049724 ネットワーキングエリアの紹介をしますこれらはですね
BQOkJLuisYI-00095-00049725-00050165 せっかく皆さん同じ場所に参加しているのでぜひとも参加してください
BQOkJLuisYI-00096-00050166-00050325 スピーカーの人
BQOkJLuisYI-00097-00050326-00050829 イベントに参加している人全てが 参加しいろいろ生の会話をできる
BQOkJLuisYI-00099-00050866-00051273 ルールは特にありませんとにかく勇気を持って参加してみてください
BQOkJLuisYI-00100-00051274-00051615 新しい人と出会えるチャンスがあるかもしれません
BQOkJLuisYI-00101-00051616-00052311 ここのネットワークエリアはプライベートなものではなくオープンな場所となります
BQOkJLuisYI-00102-00052312-00053034 イベントプラットフォームには他にも機能向上が図れるセッションのチャット
BQOkJLuisYI-00103-00053035-00053319 機能も向上したりしています
BQOkJLuisYI-00104-00053320-00053736 そしてスポンサーブースぜひともチェックしてみてください
BQOkJLuisYI-00105-00053737-00054414 今回も3社のゴールドスポンサーにサポートをしていただきました
BQOkJLuisYI-00106-00054415-00054525 インタラクティブ
BQOkJLuisYI-00107-00054526-00054980 そしてロイフォーやデジタルマーケティングの3社ありがとうございますそして
BQOkJLuisYI-00108-00054982-00055321 シルバースポンスブロンズのスポンサーの皆さん昨日送った
BQOkJLuisYI-00109-00055322-00055862 ありがとうございます
BQOkJLuisYI-00110-00055863-00056315 ゴールドスポンサーの人たちはMautic T-shirts今回のイベントの
BQOkJLuisYI-00111-00056316-00056777 T-shirtの後ろにもロゴが掲載されています今回ですね
BQOkJLuisYI-00112-00056778-00057635 この新しいロゴデザインができました のでご覧くださいこれらのマーチャンダイズは
BQOkJLuisYI-00113-00057636-00057861 Mauticのメールの中に
BQOkJLuisYI-00114-00057862-00058329 一番下のリンクにスプレッドシャート へのリンクが書いてあります
BQOkJLuisYI-00115-00058329-00058829 そこにクーポンがありますのでそれを元にいろいろ
BQOkJLuisYI-00116-00058830-00059226 グッズを購入することができます
BQOkJLuisYI-00121-00060612-00060926 エイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイエイ
BQOkJLuisYI-00123-00062117-00062350 はい、ということです
BQOkJLuisYI-00124-00062351-00062667 ぜひともよろしければ購入してください
BQOkJLuisYI-00125-00062669-00063238 最後に Photo Booth 機能の紹介をします
BQOkJLuisYI-00126-00063239-00063724 このイベントプラットフォームの中に ファンスタッフというメニューがあり
BQOkJLuisYI-00127-00063725-00064300 から写真を撮ることができます そこからMauticのロゴでフォトモザイクを作りたい
BQOkJLuisYI-00128-00064301-00064549 と思いますのでぜひともですね
BQOkJLuisYI-00129-00064550-00064815 参加をして
BQOkJLuisYI-00130-00064816-00065330 写真を撮ってくださいそしてその写真はダウンロードすることもできます
BQOkJLuisYI-00131-00065331-00065778 ぜひともマウティックグローバル楽しんでいただければと思います
BQOkJLuisYI-00133-00065896-00066397 マウティックグローバルファミリーの一員としてぜひともイベント
BQOkJLuisYI-00134-00066398-00068656 楽しんでください
BQOkJLuisYI-00135-00068657-00069136 はいみなさんどうもこんにちはです
BQOkJLuisYI-00136-00069137-00069535 マウティックカンファレンス2021
BQOkJLuisYI-00137-00069536-00070190 今日は2021年6月の17日なんですけれども スタートいたしました
BQOkJLuisYI-00138-00070191-00070498 僕はですね
BQOkJLuisYI-00140-00070639-00070950 勝と言います
BQOkJLuisYI-00141-00070951-00071256 マウスティックカンパネス2021の
BQOkJLuisYI-00142-00071257-00071824 日本語のトラックリードを務めさせていただいております
BQOkJLuisYI-00143-00071825-00072361 マウティック、ここにいらっしゃる方はおそらくご存じだと思いますけれど、
BQOkJLuisYI-00144-00072362-00072976 もオープンソースのマーケティング オートメーションのソフトウェアとして初の
BQOkJLuisYI-00145-00072977-00073119 オープンソースの
BQOkJLuisYI-00146-00073120-00073414 Mauticなんですけれども
BQOkJLuisYI-00147-00073415-00073583 現在
BQOkJLuisYI-00148-00073584-00074087 えっとまあ20万プラス以上のサイト実績がある
BQOkJLuisYI-00150-00074208-00074362 もので
BQOkJLuisYI-00151-00074363-00074660 2019年5月にアクイア
BQOkJLuisYI-00152-00074661-00075305 会社が買収して、そしてまたさらなる広まりを見せているオープンソースの剃り。
BQOkJLuisYI-00153-00075306-00075617 となります
BQOkJLuisYI-00154-00075618-00076132 今回ですね 前回の最初のMautic Conference
BQOkJLuisYI-00155-00076133-00076842 2020に引き続き日本語トラック開催となりました
BQOkJLuisYI-00156-00076843-00077424 一応ですね、マウンティックの前に
BQOkJLuisYI-00157-00077425-00077865 おそらく念のためにですねマーケティングオートメーション
BQOkJLuisYI-00158-00077866-00078488 あまり詳しくないという方向けに 簡単に数分ぐらい紹介したいと思います
BQOkJLuisYI-00159-00078489-00078719 すみませんその前にですねすみません
BQOkJLuisYI-00160-00078720-00079215 今日はですね Mautic Conference 2021
BQOkJLuisYI-00161-00079216-00079694 日本語トラックは2時間を予定しています
BQOkJLuisYI-00162-00079695-00080090 この後6時から丸山光さんに
BQOkJLuisYI-00163-00080091-00080645 によるですねMauticのWebhookでできることそしてその次は
BQOkJLuisYI-00164-00080646-00081356 寺岡浩二さんにおけるMAと組織名分析を使ったコンテンツマーケティング
BQOkJLuisYI-00165-00081357-00081767 そして7時からは秋山正樹さんにおける
BQOkJLuisYI-00166-00081768-00082265 MAとSFA Salesforce Automation そして CMSとの連携について
BQOkJLuisYI-00167-00082266-00082731 の3本のセッションがございます
BQOkJLuisYI-00168-00082732-00083151 そして最後にQ&A パネルディスカッション
BQOkJLuisYI-00169-00083152-00083643 ということで まとめて皆さんからの質問や
BQOkJLuisYI-00170-00083644-00084414 あと日本語のこのトラックのスピーカーの一面ですねパネル
BQOkJLuisYI-00171-00084415-00084730 ディスカッションをしていきたいと思っています
BQOkJLuisYI-00173-00084839-00085222 ビートリー参加されているこのイベントをですね
BQOkJLuisYI-00174-00085223-00085633 バーチャルイベントプラットフォーム ビートリで参加されている方は
BQOkJLuisYI-00175-00085634-00085726 そうですね
BQOkJLuisYI-00176-00085727-00086173 ぜひともこのセッション中にQ&A
BQOkJLuisYI-00177-00086174-00086721 チャット欄から質問をしていただければと思います
BQOkJLuisYI-00178-00086722-00086914 島村さん
BQOkJLuisYI-00179-00086915-00087507 よろしくお願いしますと早速コメントしていただいてますねありがとうございます
BQOkJLuisYI-00180-00087508-00087859 ではですね、ぜひとも
BQOkJLuisYI-00181-00087860-00088291 コメントをどんどんお寄せいただければと思います
BQOkJLuisYI-00182-00088292-00088860 また最初のエッキーさん コミュニティリードのエッキーさんが紹介していたように
BQOkJLuisYI-00183-00088861-00089212 このBeatlyのプラットフォーム
BQOkJLuisYI-00184-00089213-00089682 これをライブで参加していただいている方はネットワーキング機能
BQOkJLuisYI-00185-00089683-00089963 そしてフォトブース機能など
BQOkJLuisYI-00186-00089964-00090593 バーチャルではあるもののできるだけオフライン現地でのイベント開催
BQOkJLuisYI-00187-00090594-00090944 ような雰囲気を出せるようにいろいろなコミュニケーションツール
BQOkJLuisYI-00188-00090945-00091507 揃っていますのでぜひともそちらに参加していただければと思います
BQOkJLuisYI-00189-00091508-00092084 その他にもたくさんのですね イベント トラック
BQOkJLuisYI-00190-00092085-00092660 目白押しですのでご覧いただければと思いますそもそもマーケティング
BQOkJLuisYI-00191-00092661-00092923 オートメーションって何っていう のをまたまた
BQOkJLuisYI-00192-00092924-00093303 簡単に紹介させていただきます
BQOkJLuisYI-00193-00093304-00093873 例えばですねウェブサイト上でマーケティング活動をしている医療にうちにおいて
BQOkJLuisYI-00194-00093874-00093968 ですね
BQOkJLuisYI-00195-00093969-00094331 ウェブサイトに訪れるお客さん
BQOkJLuisYI-00196-00094332-00094988 見込み客さんはそれぞれ本気度 が違います 製品やサービスに
BQOkJLuisYI-00197-00094989-00095229 知らない人が多かったり
BQOkJLuisYI-00198-00095230-00095304 そして
BQOkJLuisYI-00199-00095305-00095744 も具体的に購入したいサービス を
BQOkJLuisYI-00200-00095745-00096368 開始したいといった様々なレベルの方がいらっしゃいます
BQOkJLuisYI-00201-00096369-00096747 それぞれの見込み客の人に対してですね
BQOkJLuisYI-00202-00096748-00097185 やっぱりアプローチの仕方が違うと思うんですね
BQOkJLuisYI-00203-00097186-00097491 なのでそこで知らない
BQOkJLuisYI-00204-00097492-00097918 気づいた興味ありといった見込み客
BQOkJLuisYI-00205-00097919-00098269 それらの人たちに対して行う
BQOkJLuisYI-00206-00098270-00098875 導入するツールというのがこのマーケティングオートメーションツールです
BQOkJLuisYI-00207-00098876-00099186 ターゲットユーザーを見込み客に
BQOkJLuisYI-00208-00099187-00099786 いわゆる自動的できるだけ自動的に育て いていこうというそういった便利なツールに
BQOkJLuisYI-00209-00099787-00099930 なります
BQOkJLuisYI-00210-00099931-00100178 そしてマウティックが
BQOkJLuisYI-00211-00100179-00100787 世界初のオープンソースマーケティングソリューションとして登場している
BQOkJLuisYI-00212-00100788-00101097 という次第です
BQOkJLuisYI-00213-00101098-00101643 Mauticの特徴はオープンソースで 自分のサーバーにインストールして使うことが
BQOkJLuisYI-00214-00101644-00101955 ができ そしてソースコードが公開 され
BQOkJLuisYI-00215-00101956-00102241 カスタマイズが可能となっています
BQOkJLuisYI-00216-00102242-00102765 世界中でオティックを使ってサービスを提供しているベンダーも登場していて
BQOkJLuisYI-00217-00102766-00103083 マーケティングオートメーションをまた
BQOkJLuisYI-00218-00103084-00103552 新たなる次元に広げることができるソリューションではないのかな
BQOkJLuisYI-00219-00103553-00103878 思っています
BQOkJLuisYI-00220-00103879-00104322 ただ マーケティングオートメーション を使いこなすまでには さまざまな課題がある
BQOkJLuisYI-00221-00104323-00104515 と思います
BQOkJLuisYI-00222-00104516-00105089 それらを解決していこうというのがこのマオティックカンファレンス
BQOkJLuisYI-00223-00105090-00105556 一つの目的となっています
BQOkJLuisYI-00224-00105557-00105885 それではですね簡単にオープニングキーノート
BQOkJLuisYI-00225-00105886-00106210 通訳させていただきました
BQOkJLuisYI-00226-00106211-00107024 ちょっと早いんですけれどもただいまから10分少々休憩をさせていただいて次はですね
BQOkJLuisYI-00227-00107025-00107399 アクイアジャパンの丸山光さんにおける
BQOkJLuisYI-00228-00107400-00107958 よるですねマウティックのウェブフックでできること
BQOkJLuisYI-00229-00107959-00108366 そちらに進みたいと思います
BQOkJLuisYI-00230-00108367-00108511 それでは
BQOkJLuisYI-00231-00108513-00108958 この今日と明日ちょっと日本の皆さんにとってはですね
BQOkJLuisYI-00232-00108959-00109577 夜スタートの深夜まで夜遅くまでという長丁場になってしまうんですけれども
BQOkJLuisYI-00233-00109578-00109679 関係で
BQOkJLuisYI-00234-00109680-00110405 でもそれも楽しんで参加していただければあとまたセッションの多くは
BQOkJLuisYI-00235-00110406-00110510 で youtube で
BQOkJLuisYI-00236-00110511-00111192 公開されますのでそれも楽しみに待っていただければと思います
Bbs1PpCuRIQ-00000-00000000-00000578 聖母によりますヨタコイエングですちなみに私も踊りたいと思いますそれではよろしく
Bbs1PpCuRIQ-00001-00000579-00000811 お願いします
Bbs1PpCuRIQ-00004-00001711-00002062 皆さんおはようございます
Bbs1PpCuRIQ-00005-00002063-00002625 総歌唱公開所祭りのオープニングのパフォーマンスとして、今年はチーム生もっと
Bbs1PpCuRIQ-00006-00002626-00002740 そして
Bbs1PpCuRIQ-00007-00002741-00003304 創価商工会社青年部のメンバーで一曲踊らせていただきたいと思います
Bbs1PpCuRIQ-00008-00003304-00003727 曲はこの商工会議所祭りの今年のテーマでもあります
Bbs1PpCuRIQ-00009-00003728-00004061 ワッショイという曲を皆さんにお届けしたいと思います。
Bbs1PpCuRIQ-00010-00004061-00004645 政令部のメンバー一生懸命練習してきましたので皆さんのお手拍子をいただければと思います
Bbs1PpCuRIQ-00011-00004646-00004787 ありがとうございます
Bbs1PpCuRIQ-00012-00004788-00005344 もっとマイティーもっとマイ 青年研はもっとマイ
Bbs1PpCuRIQ-00013-00005345-00005809 この和尚という曲ですねお祭りのオープニングに来たりは
Bbs1PpCuRIQ-00014-00005810-00005911 キョウキです
Bbs1PpCuRIQ-00016-00005986-00006545 私たちの方からわっしょいわっしょいと大きな声を出しますので皆さんの方からも
Bbs1PpCuRIQ-00017-00006547-00006930 わっしょいわっしょいと2回大きな声をいただければと思います
Bbs1PpCuRIQ-00018-00006931-00007512 一回だけ練習をしたいと思います。専門とファイクショーの専門家のメンバー、大きな声で。
Bbs1PpCuRIQ-00019-00007513-00007704 わっしょいわっしょい2回お願いします
Bbs1PpCuRIQ-00020-00007705-00007984 負けないようにご来賓の皆様観客
Bbs1PpCuRIQ-00021-00007984-00008428 皆様もワッシュいわしをいただければと 思いますはいそれでは練習します
Bbs1PpCuRIQ-00022-00008429-00008801 せーの
Bbs1PpCuRIQ-00024-00009005-00009475 もう一回いきましょうかもう一回いきましょうか皆さんだいぶいい声が出てますんで
Bbs1PpCuRIQ-00025-00009476-00009768 はいそれでいきますせーの
Bbs1PpCuRIQ-00028-00010125-00010520 ありがとうございます。それでは参ります。チーム正門。
Bbs1PpCuRIQ-00029-00010521-00011196 そして、総科商工会議所青年部で、うわっしょい!
Bbs1PpCuRIQ-00046-00020979-00021235 ご視聴ありがとうございました
Bbs1PpCuRIQ-00089-00036206-00036732 知事専門と創価商工会所生理業は終了となりましたありがとうございました
Bbs1PpCuRIQ-00092-00037278-00037679 ご視聴ありがとうございました
BcgjW6QPzn8-00008-00019415-00019490 好きなので
BcgjW6QPzn8-00009-00019491-00020299 あきました。
BcgjW6QPzn8-00010-00020300-00020657 私は今2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3-9と2-3
BcgjW6QPzn8-00011-00020658-00021219 つかえ!うれ!
Bqzd5CT2TIc-00000-00000123-00000561 5月の壁面飾りの例をご紹介します。
Bqzd5CT2TIc-00001-00000562-00001017 背景は青空や風景を描いた紙に、屋根瓦を描いています。
Bqzd5CT2TIc-00002-00001018-00001279 買ったものを用意しましょう
Bqzd5CT2TIc-00003-00001280-00001684 こいのぼりをつけるのに、はちまいばでのかじゃぐるま。
Bqzd5CT2TIc-00004-00001685-00001839 長い紙の棒
Bqzd5CT2TIc-00005-00001841-00002039 紐を用意します。
Bqzd5CT2TIc-00006-00002041-00002450 くねくねこいのぼりは3食用意しましょう。
Bqzd5CT2TIc-00007-00002451-00002708 伸びてしまわないように裏にマスクをつけます。
Bqzd5CT2TIc-00008-00002709-00002837 キングテープを貼り、
Bqzd5CT2TIc-00009-00002838-00003158 口には紐に通すための紙テープを貼って、
Bqzd5CT2TIc-00010-00003159-00003326 おきましょう
Bqzd5CT2TIc-00011-00003327-00003704 色紙と画用紙で作った勝負の花も用意しています。
Bqzd5CT2TIc-00012-00003704-00003821 いただきます
Bqzd5CT2TIc-00013-00003822-00004250 まず風車の裏に紙の棒と紐をくっつけておきます。
Bqzd5CT2TIc-00015-00004397-00004831 風車と棒をしっかりと台紙にとめます。このとき、
Bqzd5CT2TIc-00016-00004832-00005118 紐の端は止めません。
Bqzd5CT2TIc-00017-00005119-00005541 こいのぼりのくちのぶぐんのひもをさおのひもにとおし、
Bqzd5CT2TIc-00018-00005542-00005691 仮止めします。
Bqzd5CT2TIc-00020-00006448-00006738 こいのぼりの裏のマスキングテープを取って、
Bqzd5CT2TIc-00021-00006739-00007113 伸びてしまわないように軽くピンで止めます。
Bqzd5CT2TIc-00022-00007114-00007183 おいておきます
Bqzd5CT2TIc-00024-00007495-00007791 マスキングテープは壁に貼る前に取って
Bqzd5CT2TIc-00025-00007792-00008068 おいた方が作業がしやすかった と思います
Bqzd5CT2TIc-00027-00008403-00008663 空いているところに勝負の花を張っていきましょう。
Bqzd5CT2TIc-00028-00008664-00008847 ます
Bqzd5CT2TIc-00029-00008848-00009355 向こうから手前へと張っていってください
Bqzd5CT2TIc-00030-00009356-00009577 全体のバランスを見ながら
Bqzd5CT2TIc-00031-00009578-00009943 こいのぼりの形を整えます
Bqzd5CT2TIc-00032-00009944-00010300 これで完成ですが、こいのぼりは後で動かします。
Bqzd5CT2TIc-00033-00010301-00010459 ことができます
Bqzd5CT2TIc-00034-00010460-00010831 毎日少しずつ動かしたりその日の風の強さを感じることができるようになりました
Bqzd5CT2TIc-00035-00010832-00011168 さに合わせて飾るのも面白いです
Bqzd5CT2TIc-00036-00011169-00011447 季節が終わったらパーツごとに外し、
Bqzd5CT2TIc-00037-00011448-00011690 こいのぼりは、裏からマスキングテープを使って、
Bqzd5CT2TIc-00038-00011691-00012008 を貼って片付けておくと来年も 使うことができます
BwfI8MDTKtc-00000-00000000-00000335 1曲目オープニングを飾らせていただきます流星で
BwfI8MDTKtc-00001-00000336-00000641 今日はちょっと今お時間いただきたい
BwfI8MDTKtc-00002-00000642-00001259 たいんですが電の左右に今座っております果たし
BwfI8MDTKtc-00003-00001260-00001829 はい、今日実はですね、このためにあのー、一生懸命練習していただきました。
BwfI8MDTKtc-00004-00001830-00002156 実は流星で子どもたちの果たしもいまして
BwfI8MDTKtc-00005-00002157-00002746 なんと今日私のお父さんたちです拍手でお願いします
BwfI8MDTKtc-00009-00004672-00005190 ご視聴ありがとうございました
BwfI8MDTKtc-00010-00005191-00005440 最後とも優先したいと思います
BwfI8MDTKtc-00044-00017693-00018450 ここからは民族部隊 舞踊 名誉の歌詞です
BwfI8MDTKtc-00090-00035174-00035653 たりたり
BwfI8MDTKtc-00092-00035740-00036378 両側は私のお父様方素晴らしい見方でしたありがとうございましたそれでは
BwfI8MDTKtc-00093-00036379-00036972 この生きるまた疲れる皆様とお会いできると思いますよろしくお願いいたします
BwfI8MDTKtc-00094-00036973-00037214 ありがとうございました
C3veBe44ISM-00000-00000075-00000339 皆様ごきげんよう、久目です。
C3veBe44ISM-00001-00000340-00000687 キャラクサーボイスはゆずきゆかりでお届けしています。
C3veBe44ISM-00002-00000688-00001089 2月9日、バンマの塔で自己新記録が出ました。
C3veBe44ISM-00003-00001090-00001680 あと少しで50万ポイントです第4の祭壇を完全制覇すればあと2万ポイントくらい
C3veBe44ISM-00004-00001680-00001854 稼げそうな感じです
C3veBe44ISM-00005-00001855-00002338 ただサポさんでそれをやるのはちょっと難しそうなのでやはり第三の祭壇でしょう
C3veBe44ISM-00006-00002339-00002946 あと5万3000ポイントくらいなので今週はもうちょっとだけ頑張ってみますかね
C3veBe44ISM-00008-00003124-00003513 というわけで、今回の動画は以上で終了です。
