UAHUKX7GH1U-00001-00000210-00000311 こんにちは、だつで
URTTGpUU5ck-00508-00135375-00135548 活かしてらっしゃるんだなということを感じます
URTTGpUU5ck-00509-00135549-00135848 鎌倉さんここまでお話伺ってみて
URTTGpUU5ck-00510-00135849-00135956 どうでしょうか
URTTGpUU5ck-00512-00136145-00136479 やはり緊急時避難していた人たちにも
URTTGpUU5ck-00513-00136480-00136791 飲食中の場所というのはあるんですけど
URTTGpUU5ck-00514-00136792-00137146 子どもたちにやっぱり一瞬でも
URTTGpUU5ck-00515-00137147-00137386 ケアというか落ち着ける場所を提供して
URTTGpUU5ck-00516-00137387-00137616 いるというところがやはり一人一人
URTTGpUU5ck-00517-00137617-00137875 見つめるアドラさんの姿勢だなって
URTTGpUU5ck-00518-00137876-00138146 ということをすごい強く感じました
URTTGpUU5ck-00519-00138147-00138452 中国のこのネットワークのすごさという
URTTGpUU5ck-00520-00138453-00138650 が、
URTTGpUU5ck-00521-00138651-00138914 それがちゃんと密に連絡
URTTGpUU5ck-00522-00138915-00139238 取り合いながら機能している
URTTGpUU5ck-00524-00139407-00139823 人道支援として今後第三国への避難
URTTGpUU5ck-00525-00139824-00140169 をする人たちへのという話ありました けども
URTTGpUU5ck-00526-00140170-00140496 今近隣諸国からもしかしたらですね
URTTGpUU5ck-00527-00140497-00140813 日本も含めて避難が広がる中
URTTGpUU5ck-00528-00140814-00141176 まさにこのネットワークが生きてくるので
URTTGpUU5ck-00529-00141177-00141586 ないかと思いながらお話を伺いました
URTTGpUU5ck-00530-00141587-00141733 ありがとうございました
URTTGpUU5ck-00531-00141734-00141988 前半はこれに時間が迫って
URTTGpUU5ck-00532-00141989-00142261 一旦終わりにしようと思います
URTTGpUU5ck-00533-00142262-00142498 次回後半はですね
URTTGpUU5ck-00534-00142499-00142741 具体的によりどのような活動をしていくか
URTTGpUU5ck-00535-00142742-00142969 いるかということであったり永井さんご自身
URTTGpUU5ck-00536-00142970-00143161 今ですね、NGOで働き始めた期間
URTTGpUU5ck-00537-00143162-00143368 などについても深掘りしていきたい
URTTGpUU5ck-00538-00143369-00143618 思います 鎌倉さん 永井さん 次回も
URTTGpUU5ck-00539-00143619-00143864 どうぞよろしくお願いいたします
URTTGpUU5ck-00540-00143865-00144137 それでは皆さん
URTTGpUU5ck-00541-00144138-00144308 次回のNCO世界を見つめて
URTTGpUU5ck-00542-00144309-00144857 よろしくお願いいたします
URTTGpUU5ck-00543-00144858-00145145 ご視聴ありがとうございました。
URTTGpUU5ck-00544-00145146-00145472 チャンネル登録やご評価をいただけますと幸いです。
URTTGpUU5ck-00545-00145473-00145772 また、このチャンネルは皆様のご寄付に支えます。
URTTGpUU5ck-00546-00145773-00146081 ご支援ご協力よろしくお願いします
URTTGpUU5ck-00547-00146082-00146360 お願いいたします
Uj0_aau0B6A-00010-00005245-00005673 短距離、中距離、長距離全部ね、高水準でこのテーラー
Uj0_aau0B6A-00011-00005674-00005868 から様のようなオーダー
Uj0_aau0B6A-00012-00005869-00005979 もいらっしゃれば
Uj0_aau0B6A-00013-00005980-00006297 短距離も中距離も微妙やから消去法で超
Uj0_aau0B6A-00014-00006298-00006548 プリンさせそうなスノッケンとかいうような
Uj0_aau0B6A-00015-00006550-00007029 やつもいるんで
Uj0_aau0B6A-00017-00007278-00007523 Aチームはね、ガリさんはね、もっともっと
Uj0_aau0B6A-00018-00007523-00007771 デカモリングっていう大いに 削るから始める
Uj0_aau0B6A-00019-00007772-00008126 なれたことで 会社のサポアに探求が
Uj0_aau0B6A-00020-00008127-00008428 ですけど各地のデカ盛りを食べてブログ
Uj0_aau0B6A-00021-00008429-00008705 を書いているうちに気づいたら 6キロ7キロ
Uj0_aau0B6A-00022-00008706-00008960 食べられるようになりました
Uj0_aau0B6A-00023-00008961-00009250 やるって感じなんですけど
Uj0_aau0B6A-00026-00010008-00010299 一気に勝負が可能性があります
Uj0_aau0B6A-00027-00010300-00010605 96巻を食べ終えたガリさん山神さん
Uj0_aau0B6A-00028-00010606-00010959 今山上さんのお寿司が
Uj0_aau0B6A-00029-00010960-00011323 なくなりました
Uj0_aau0B6A-00031-00011953-00012171 大半額引くタイプなんですよ
Uj0_aau0B6A-00032-00012172-00012607 なぜか開始1分の回になりも10分経過した
Uj0_aau0B6A-00033-00012608-00012841 た時の方がラップタイムが早いという
Uj0_aau0B6A-00034-00012841-00013180 本日もムードに平日で行わせてくるおかげで
Uj0_aau0B6A-00035-00013181-00014049 全然2段できないです
Uj0_aau0B6A-00036-00014050-00014418 ラッサリさんの鎮骨症はその推量
Uj0_aau0B6A-00037-00014419-00014700 今ね、48巻完書されたんで
Uj0_aau0B6A-00039-00014812-00015150 見てくださいこのタイミングで6分50秒だけごっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほっほ
Uj0_aau0B6A-00040-00015151-00015432 まだ2分経ってないのに
Uj0_aau0B6A-00041-00015433-00015713 もう48貫食べ終わっちゃったのに
Uj0_aau0B6A-00043-00016372-00016674 残り5分で誕生された山上さん
Uj0_aau0B6A-00044-00016675-00017004 神尾さんも早税で日本でで1位を争うと
Uj0_aau0B6A-00045-00017005-00017328 方々がどんなヤバいかなんですけど
Uj0_aau0B6A-00046-00017329-00017636 こうやって話し始めるうちにお皿一つがポップ
Uj0_aau0B6A-00047-00017637-00017832 なしなりぐらいやばいです
Uj0_aau0B6A-00049-00018318-00018550 ちょっと来たらブログを書くのも一つも知らない
Uj0_aau0B6A-00051-00018707-00018931 サムライイーティングをご覧の皆様こんにちは
Uj0_aau0B6A-00052-00018932-00019136 マックス関でございますいつもご視聴ありがとうございました
Uj0_aau0B6A-00053-00019137-00019378 ご視聴いただき誠にありがとうございます
Uj0_aau0B6A-00054-00019379-00019678 そして今回ガオーにスポンサードしてくださった
Uj0_aau0B6A-00055-00019679-00019925 薄毛治療の神話クリニック様
Uj0_aau0B6A-00056-00019926-00020146 スピードサイドありがとうございます
Uj0_aau0B6A-00057-00020147-00020326 これからもフードファイト上界
Uj0_aau0B6A-00058-00020327-00020584 盛り上げるべく皆様に楽しんでいただける
Uj0_aau0B6A-00059-00020585-00020878 動画を制作していきたいと思っております
Uj0_aau0B6A-00060-00020879-00021088 今後の活動についてですが、
Uj0_aau0B6A-00061-00021089-00021367 バトルクラブのような規模の大きい大会を
Uj0_aau0B6A-00062-00021368-00021586 からもどんどん開催していきたいと思います
Uj0_aau0B6A-00063-00021587-00021856 その中でぜひご協賛してください
Uj0_aau0B6A-00064-00021857-00022045 いただけるスポンサー様を募集
Uj0_aau0B6A-00065-00022046-00022346 ありますもしご興味のある方は概要欄に
Uj0_aau0B6A-00066-00022347-00022670 ありますメールアドレスにご連絡バイバイ
Uj0_aau0B6A-00067-00022671-00022898 改めまして今回スポンサードしてください
Uj0_aau0B6A-00068-00022899-00023183 薄毛治療の神話クリニック様
Uj0_aau0B6A-00069-00023184-00023441 本当にありがとうございます!
Uj0_aau0B6A-00070-00023442-00023753 ございますがこの度なんと2回目の植毛
Uj0_aau0B6A-00071-00023754-00024053 手術を受けることになりました詳しくは概要欄に
Uj0_aau0B6A-00072-00024054-00024258 URLから飛んでみてください
Uj0_aau0B6A-00073-00024259-00024771 ください以上皆様へのご報告でした
Uj0_aau0B6A-00074-00024772-00024945 準備はよろしいでしょうか
Uj0_aau0B6A-00075-00024946-00025293 じゃあ3対3の組織対決
Uj0_aau0B6A-00076-00025294-00025442 ドリームマッチ
Uj0_aau0B6A-00077-00025443-00025633 開始します
Uj0_aau0B6A-00085-00026499-00026764 さあ始まりました3対3の浜寿司を
Uj0_aau0B6A-00086-00026766-00027145 防具位対決ルールは制限時間15分に先に
Uj0_aau0B6A-00087-00027147-00027493 サラ24巻の寿司を15皿計300
Uj0_aau0B6A-00088-00027494-00027799 60巻全て食べきったチームの勝手
Uj0_aau0B6A-00089-00027800-00028127 といういたっぺんシンプルなものなんですけど
Uj0_aau0B6A-00090-00028127-00028396 だけで特殊な点がございますまあもう一
Uj0_aau0B6A-00091-00028397-00028656 説明あったかと思うんですけど
Uj0_aau0B6A-00092-00028657-00028889 スタートするタイミングが違うんですね
Uj0_aau0B6A-00093-00028891-00029325 開始時点は私、篠剣とゆめさん、そしてね、5分。
Uj0_aau0B6A-00094-00029326-00029547 もう残り10分の時点でガーディスさん
Uj0_aau0B6A-00095-00029548-00029826 ラスカルさんそして最後の5分で山上
Uj0_aau0B6A-00096-00029827-00030117 さんと神山さんが参戦しますこれ 見て
Uj0_aau0B6A-00097-00030118-00030357 勘の言い方ならお気口だと思うんですけど
Uj0_aau0B6A-00098-00030358-00030450 ですけど
Uj0_aau0B6A-00099-00030451-00030618 中距離長距離
Uj0_aau0B6A-00100-00030619-00030963 短距離、各々が一番得意な距離でいったか
Uj0_aau0B6A-00101-00030964-00031116 に加えているんですよね
Uj0_aau0B6A-00102-00031117-00031530 まあ、短距離、中距離、長距離全部ね、降水
Uj0_aau0B6A-00103-00031531-00031810 このテレラスカル様のようなね
Uj0_aau0B6A-00104-00031811-00031952 もいらっしゃれば
Uj0_aau0B6A-00105-00031954-00032250 短距離も中距離も微妙やから消去法で
Uj0_aau0B6A-00106-00032251-00032499 距離に立てそうなシノケンとかいうような
Uj0_aau0B6A-00107-00032500-00032802 やつもいるんで完全にねあの得意 キャリ
Uj0_aau0B6A-00108-00032803-00033063 で割り振られているかというと 諸説あるん
Uj0_aau0B6A-00109-00033064-00033294 んですけど
Uj0_aau0B6A-00110-00033295-00033522 得意距離で戦っていると捉えてもなくて
Uj0_aau0B6A-00111-00033523-00033843 で大丈夫ですちなみに寿司ネタは
Uj0_aau0B6A-00112-00033844-00034071 出されてる今出されてるねマグロス
Uj0_aau0B6A-00113-00034072-00034413 卵っていうのは各に1皿24カ所
Uj0_aau0B6A-00114-00034414-00034686 食べる順番は今言ったマグロ
Uj0_aau0B6A-00115-00034687-00035031 サーモン、ホタテ、卵の順番で固定です
Uj0_aau0B6A-00116-00035032-00035487 この4日4皿計96貨を食べるとしたいんや
Uj0_aau0B6A-00117-00035488-00035844 アナゴ24巻そしてアナゴと卵が12巻ず
Uj0_aau0B6A-00118-00035845-00036149 の2皿そしてマズロサーモンを2手が8
Uj0_aau0B6A-00119-00036150-00036464 1缶ずつ乗った皿の3種類の皿がある
Uj0_aau0B6A-00120-00036465-00036764 でそれがね今行った順番で出てきます
Uj0_aau0B6A-00121-00036765-00037021 ちなみにこれら一皿ずつしかないんで
Uj0_aau0B6A-00122-00037022-00037405 一番最初に96巻食べきった人だけ
Uj0_aau0B6A-00123-00037406-00037667 が猫唯一無二の春後24回目
Uj0_aau0B6A-00124-00037668-00037953 たどり着けるんですよなんでエビマヤさんの
Uj0_aau0B6A-00125-00037954-00038289 このアナゴ24巻を誰が取るかね
Uj0_aau0B6A-00126-00038290-00038583 チーム内でもね争っていたそうです
Uj0_aau0B6A-00127-00038584-00038817 そうすることでチームで食べた 家具は
Uj0_aau0B6A-00128-00038818-00039166 結果オーライかもしれませんね
Uj0_aau0B6A-00129-00039167-00039454 さあルールの概要を説明し終わって
Uj0_aau0B6A-00130-00039455-00039787 3分ちょっとエビマヨさんがここで48分
Uj0_aau0B6A-00131-00039788-00040018 3皿目のホタテ
Uj0_aau0B6A-00132-00040019-00040279 に移ります
Uj0_aau0B6A-00133-00040280-00040564 少し前にホタテ堂に突入してたのに大体
Uj0_aau0B6A-00134-00040565-00040837 12巻程度Aチームがリードして
Uj0_aau0B6A-00135-00040838-00041014 いる展開となっております
Uj0_aau0B6A-00136-00041015-00041368 画法ゼロ症の男にしては珍しくね検討して
Uj0_aau0B6A-00137-00041369-00041509 いるように見えますが
Uj0_aau0B6A-00138-00041510-00041755 普段からにご覧の方なら分かると思うの
Uj0_aau0B6A-00139-00041756-00042007 けど駅前さっきね後半がにしぐったりし
Uj0_aau0B6A-00140-00042008-00042406 なんですよね なぜか開始分のパイによりも10
Uj0_aau0B6A-00141-00042407-00042670 1分経過した時の方がラップタイムが
Uj0_aau0B6A-00142-00042671-00042985 とかいうとんでもムーブを平気で行って
Uj0_aau0B6A-00143-00042986-00043342 くるお金なので全然油断できないです
Uj0_aau0B6A-00144-00043343-00043667 そしてシノケン72巻完食
Uj0_aau0B6A-00145-00043668-00043939 ゾーンに移ります今回ねこの卵が
Uj0_aau0B6A-00146-00043940-00044311 ダントツでクセ者でネタがでかい食材が
Uj0_aau0B6A-00147-00044312-00044590 飲み込みづらい結構お腹に溜まるという僕
Uj0_aau0B6A-00148-00044591-00044864 クセ要素の数役はみたいなスペックし
Uj0_aau0B6A-00149-00044865-00045290 マジでね体感卵1缶で他のお寿司2缶
Uj0_aau0B6A-00150-00045291-00045566 ぐらいの戦闘力を誇っている気がします
Uj0_aau0B6A-00151-00045567-00045812 仕事にも上手くて個人的にはめちゃくちゃ
Uj0_aau0B6A-00152-00045813-00046182 好きな寿司屋なんですけどその時ばかりは
Uj0_aau0B6A-00153-00046183-00046382 黄色のアクアでした
Uj0_aau0B6A-00154-00046383-00046637 大言いの間に開始5分が勝とうとし
Uj0_aau0B6A-00155-00046638-00047030 残り10分この時点で中距離適正
Uj0_aau0B6A-00156-00047031-00047225 ランクAチームから上がる3
Uj0_aau0B6A-00157-00047226-00047510 eチームからはラスカルさんが 賛成
Uj0_aau0B6A-00158-00047511-00047819 ちなみに注意点は食材にもよります が
Uj0_aau0B6A-00159-00047820-00048098 ヒロムライオスは1位はねダジさんは
Uj0_aau0B6A-00160-00048099-00048393 もともとはデカマリングっていう大きな奴だ
Uj0_aau0B6A-00161-00048394-00048747 から始められたことで最初はね たとは231
Uj0_aau0B6A-00162-00048748-00049017 だったんですけど各地のデカモニター
Uj0_aau0B6A-00163-00049018-00049251 食べてブログを書いているうちに気づき
Uj0_aau0B6A-00164-00049252-00049461 6キロ7キロ食べられるよ
Uj0_aau0B6A-00165-00049462-00049704 になってましたそうはならんやろって感じで
Uj0_aau0B6A-00166-00049705-00049914 実際になってしまったら
Uj0_aau0B6A-00167-00049915-00050172 ですよねこれが
Uj0_aau0B6A-00168-00050173-00050383 大食いになりますかって質問される方います
Uj0_aau0B6A-00169-00050384-00050530 いらっしゃいますけど
Uj0_aau0B6A-00170-00050531-00050821 ブログを書くのも一つの手段なのかもしれません。
Uj0_aau0B6A-00171-00050822-00051181 ませんでは b チームならスター さんその
Uj0_aau0B6A-00172-00051182-00051501 ではね、おそらく説明不要でしょう。
Uj0_aau0B6A-00173-00051502-00051820 とんでもないよう笑顔で食べきることだと
Uj0_aau0B6A-00174-00051821-00052107 の圧倒的な実用化を持つ多かった なんです
Uj0_aau0B6A-00175-00052108-00052475 ラスカルさんの新骨頂はそのスピードを
Uj0_aau0B6A-00176-00052476-00052872 今48巻完食されたんですけど
Uj0_aau0B6A-00177-00052873-00053201 見てくださいこのタイミングで6分50秒弱で
Uj0_aau0B6A-00178-00053202-00053478 食から食べ始めてるんでまだに2分経っ
Uj0_aau0B6A-00179-00053479-00053721 ないのにもうで48巻食べ終わっちゃっ
Uj0_aau0B6A-00181-00053805-00054240 やばすぎでしょ画角から消えて数秒経ってね
Uj0_aau0B6A-00182-00054241-00054498 再び映った時にはほら見てください
Uj0_aau0B6A-00183-00054499-00054779 もうねさっきと比べて全然ねお皿の中 な
Uj0_aau0B6A-00184-00054780-00054997 らってるんですよね マラスカルさんとか
Uj0_aau0B6A-00185-00054998-00055269 10分スタート組現在の時間は
Uj0_aau0B6A-00186-00055270-00055516 ラスタルさんがリードされて
Uj0_aau0B6A-00187-00055516-00055761 言うんですけどこれで別に
Uj0_aau0B6A-00188-00055762-00056025 全然遅くないです今ねあのガジェさんも
Uj0_aau0B6A-00189-00056026-00056359 48巻完食されたんですけど経過時間が
Uj0_aau0B6A-00190-00056360-00056671 食べ始めから約2分半2分半でね
Uj0_aau0B6A-00191-00056672-00057041 24皿分の皿食べてるんですよ回転分
Uj0_aau0B6A-00192-00057041-00057296 一緒に行ってちょっとトイレ行ってくるわね
Uj0_aau0B6A-00193-00057297-00057557 帰ってきたら24歳の積み上がって
Uj0_aau0B6A-00194-00057558-00057909 んですよ もう冷静に考えたらカジさんも
Uj0_aau0B6A-00195-00057910-00058146 相当ぶっ飛んだスピードをしていること
Uj0_aau0B6A-00196-00058147-00058419 わかると思います もうねー
Uj0_aau0B6A-00197-00058420-00058766 ですよここお菓子をよくねあの大上
Uj0_aau0B6A-00198-00058767-00059037 感覚麻痺した皆さんなら
Uj0_aau0B6A-00199-00059038-00059277 とかで僕ネタで言ってますけど
Uj0_aau0B6A-00200-00059278-00059610 正直ね今度は見続けたら感覚バグり
Uj0_aau0B6A-00201-00059611-00059878 白カスに決まってるんですよ
Uj0_aau0B6A-00202-00059879-00060072 なんで好きだお前よ
Uj0_aau0B6A-00203-00060073-00060403 ちょっと要項はね守ってクリグインもね大食い動画
Uj0_aau0B6A-00204-00060404-00060609 見過ぎないようにしましょう
Uj0_aau0B6A-00206-00060676-00060922 さあちょっと話を変わっている人体におす
Uj0_aau0B6A-00207-00060923-00061185 お互いのチーム9差の出来頃
Uj0_aau0B6A-00208-00061186-00061524 ますね ラスカルさんがガーディアさんに対しや不死
Uj0_aau0B6A-00209-00061525-00061846 スタラブンリードしてますが
Uj0_aau0B6A-00210-00061847-00062119 馬にとらわれて速度ダウンしていた駅
Uj0_aau0B6A-00211-00062120-00062454 でしのけんが奇跡的に一皿リードでき
Uj0_aau0B6A-00212-00062455-00062686 っているためトンポンとなっておりますけど
Uj0_aau0B6A-00213-00062687-00062863 しかしね、残り5分で
Uj0_aau0B6A-00214-00062864-00063229 最終兵器の方たちを投入されますから全然
Uj0_aau0B6A-00215-00063229-00063500 ね勝負わからないですねああ
Uj0_aau0B6A-00216-00063501-00063794 内海で今回卵が一番きついって話して
Uj0_aau0B6A-00217-00063795-00064169 んですけどまぁ逆に一番楽なすしネタに ポタッ
Uj0_aau0B6A-00218-00064170-00064490 でしたね
Uj0_aau0B6A-00219-00064491-00064802 ナスシネタの中では一番イージー です
Uj0_aau0B6A-00220-00064803-00065087 理由は反価の高さゆえネタが小さくて
Uj0_aau0B6A-00221-00065088-00065336 なりがちなのとヘルシーなんでね
Uj0_aau0B6A-00222-00065337-00065598 あんまり言い出ししんどくならないからですね
Uj0_aau0B6A-00223-00065599-00065844 結構ね 嗅ぎきれずに苦戦するイメージ
Uj0_aau0B6A-00224-00065845-00065928 ですけど
Uj0_aau0B6A-00225-00065929-00066198 ガチの寿司屋とかなら私も買いて
Uj0_aau0B6A-00226-00066199-00066507 自身大のデータの大きさならご利用し聞きます
Uj0_aau0B6A-00227-00066508-00066750 なんでね皆さん人生で一度はね
Uj0_aau0B6A-00228-00066751-00067002 お寿司何貫食べられるかチャレンジ
Uj0_aau0B6A-00229-00067003-00067287 やられた経験あるかと思いますけどもし
Uj0_aau0B6A-00230-00067288-00067576 苦手とかじゃなければ騙されたと思って
Uj0_aau0B6A-00231-00067577-00067834 回路一緒に取りに行ってください
Uj0_aau0B6A-00232-00067835-00068164 で下駄履くことができると思いますさあ そして
Uj0_aau0B6A-00233-00068165-00068509 ついに残り5分ここで短距離的性
Uj0_aau0B6A-00234-00068510-00068851 バケモンクラスの早食いスキルを持つH
Uj0_aau0B6A-00235-00068852-00069145 やはみたん b チームかにゃわたんが参戦し
Uj0_aau0B6A-00236-00069146-00069484 この時点で残るお皿数は
Uj0_aau0B6A-00237-00069485-00069865 チーム共にならさらもう機場に寄港して 劇
Uj0_aau0B6A-00238-00069866-00070141 アチな展開となっております
Uj0_aau0B6A-00239-00070142-00070399 残り5分で参戦された山上さん
Uj0_aau0B6A-00240-00070400-00070759 神尾さんも早杖で日本でで1位に争う方が
Uj0_aau0B6A-00241-00070760-00071056 がどんぐらいやばいからんですけど
Uj0_aau0B6A-00242-00071057-00071320 こうやって話しているうちにお皿一つ
Uj0_aau0B6A-00243-00071321-00071706 とせてなくなるぐらいやばいです
Uj0_aau0B6A-00244-00071707-00072075 さあ40秒で24巻中山が一瞬はって提示ん
Uj0_aau0B6A-00245-00072076-00072232 でしょう
Uj0_aau0B6A-00246-00072233-00072442 で、まあ速度はね、ご覧の通り
Uj0_aau0B6A-00247-00072443-00072686 ていろーぱちゃんっちのかな早食いしてる こと
Uj0_aau0B6A-00248-00072687-00072925 たら分かるように 朝も結構あり
Uj0_aau0B6A-00249-00072926-00073265 普通早食いって言ったら牛丼一杯とか
Uj0_aau0B6A-00250-00073266-00073498 ラーメン一杯とかを何秒で食べるか
Uj0_aau0B6A-00251-00073499-00073786 とかだと思うんですけどこの方たち
Uj0_aau0B6A-00252-00073787-00074066 2、3キロ程度なら
Uj0_aau0B6A-00253-00074067-00074331 さっきと同じまま食べきり入りますまあそう
Uj0_aau0B6A-00254-00074332-00074592 あの歪んだ空間における短距離っていうのは
Uj0_aau0B6A-00255-00074593-00074819 3キロなんですけど
Uj0_aau0B6A-00256-00074820-00075165 大好きでやますで通常やるよ
Uj0_aau0B6A-00257-00075166-00075480 分の量であるこの商品は普段からね結構
Uj0_aau0B6A-00258-00075481-00075756 食べる方でも一人で完食するとなると
Uj0_aau0B6A-00259-00075757-00076031 一日構想を確保しなければならない
Uj0_aau0B6A-00260-00076032-00076330 ボリューミーな株面なんですけど
Uj0_aau0B6A-00261-00076331-00076684 の方たちは40秒で食べきります40分で
Uj0_aau0B6A-00262-00076685-00076975 40秒です
Uj0_aau0B6A-00263-00076976-00077197 ないと思うんですけど実際にこの 動画
Uj0_aau0B6A-00264-00077198-00077473 上がってるんですけど見てもね
Uj0_aau0B6A-00265-00077474-00077674 というのかよくわかりませんでした
Uj0_aau0B6A-00267-00077960-00078274 消えますこの人たちね早食いで
Uj0_aau0B6A-00268-00078275-00078451 もしかしてもないマジックできるん
Uj0_aau0B6A-00269-00078452-00078817 ちゃうから 普遍の容器顔面と密着させて5秒
Uj0_aau0B6A-00270-00078818-00079075 中身切れたらもうそれマジで
Uj0_aau0B6A-00271-00079076-00079406 通り越して回帰現象でしょ
Uj0_aau0B6A-00272-00079407-00079682 さあそしてここで山神さんと神山さん
Uj0_aau0B6A-00273-00079683-00080075 同人お寿司72缶よ 完食へ
Uj0_aau0B6A-00274-00080076-00080420 ともに残り3皿となりましたと思ったら
Uj0_aau0B6A-00275-00080421-00080789 ラスカルさんがここで完食120カー
Uj0_aau0B6A-00276-00080790-00081073 シールが残り2皿になりました
Uj0_aau0B6A-00277-00081074-00081304 ここでビーチングが一般に
Uj0_aau0B6A-00278-00081305-00081628 私が掴みなりさんが96巻
Uj0_aau0B6A-00279-00081629-00081973 せずで a シーンを追従両チームとも
Uj0_aau0B6A-00280-00081974-00082399 残り5パスあるとに勝負は回収直命ともつれます
Uj0_aau0B6A-00281-00082400-00082621 今回にある自分の食べるお寿司がなきゃ
Uj0_aau0B6A-00282-00082622-00082903 た場合他の人のサポートをしても いる
Uj0_aau0B6A-00283-00082904-00083247 一気に勝負が可能性があります
Uj0_aau0B6A-00284-00083248-00083556 さあ96巻を食べ終えたガリさん山神さん
Uj0_aau0B6A-00285-00083557-00083906 サポートに入り今山上さんのお寿司
Uj0_aau0B6A-00286-00083907-00084225 なくなりましたそしてしのけりのお皿も 残り
Uj0_aau0B6A-00287-00084226-00084550 それをしっかり飲み干してAチームお寿司
Uj0_aau0B6A-00288-00084551-00084999 360巻完食13分37秒勝負
Uj0_aau0B6A-00289-00085000-00085270 Aチームが勝利となりましたしかしB
Uj0_aau0B6A-00290-00085271-00085612 シームス手を止めず15分以内の完食を目指す
Uj0_aau0B6A-00291-00085613-00085939 最後に残った卵のお寿司今回で
Uj0_aau0B6A-00292-00085940-00086281 明日越し飛ぶによる黄色い頭に単人間の力を
Uj0_aau0B6A-00293-00086282-00086470 合わせて始まります
Uj0_aau0B6A-00294-00086471-00086707 チェーンよがんなんでっていうこの勝負ねポン
Uj0_aau0B6A-00295-00086708-00086980 は15分でどっちがより多く食べられるか
Uj0_aau0B6A-00296-00086981-00087190 勝負だったんだけど両チーム
Uj0_aau0B6A-00297-00087191-00087451 のパフォーマンスが陰影の想像以上で
Uj0_aau0B6A-00298-00087452-00087857 どっちのチームで時間内にお寿司がポンコ
Uj0_aau0B6A-00299-00087858-00088063 もうなくなりそうになったんで急遽ね
Uj0_aau0B6A-00300-00088064-00088409 660g先に食べた方が勝ちのケース
Uj0_aau0B6A-00301-00088410-00088766 に変更となったという裏話があります
Uj0_aau0B6A-00302-00088767-00089051 区域を決定戦とかでは稀によく見る光景ですけど
Uj0_aau0B6A-00303-00089052-00089255 まさかなんか自分が参加してる
Uj0_aau0B6A-00304-00089256-00089451 戦いを起こるとは思わなかったです
Uj0_aau0B6A-00305-00089452-00089787 さあそしていよいよ残り10秒Bチームは無事時間だ
Uj0_aau0B6A-00306-00089788-00090087 食べきることができるのか
Uj0_aau0B6A-00319-00093899-00094176 はい、マイユーをおなじみ天人の声です
Uj0_aau0B6A-00320-00094177-00094417 今回紹介するのは薄毛治療
Uj0_aau0B6A-00321-00094418-00094678 プロフェッショナル神話クリニックさん
Uj0_aau0B6A-00322-00094679-00094903 大食いファイターのマックスズキさん
Uj0_aau0B6A-00323-00094904-00095163 自毛植毛手術を受けられたクリニックさん
Uj0_aau0B6A-00324-00095164-00095448 で見事髪の毛を手に入れた後さらな
Uj0_aau0B6A-00325-00095449-00095673 どうも求め2度目のシルトモーキー
Uj0_aau0B6A-00326-00095674-00095976 自毛食毛の効果で変化
Uj0_aau0B6A-00327-00095977-00096215 一目瞭然少しでも悩んでる方が
Uj0_aau0B6A-00328-00096216-00096388 いらっしゃいましたらぜひ無料
Uj0_aau0B6A-00329-00096389-00096584 カウンセリングからでも相談してみて
Uj0_aau0B6A-00331-00096689-00096962 薄毛治療の神話クリニック
Uj0_aau0B6A-00332-00096963-00097086 ということですね
Uj0_aau0B6A-00333-00097087-00097443 結果の方が15分以内で容赦
Uj0_aau0B6A-00334-00097444-00097740 完食されたということなんですけど
Uj0_aau0B6A-00335-00097741-00098081 それよりちょっと早かったかじりさんでも頑張って
Uj0_aau0B6A-00337-00098145-00098349 しのけんくんチームの勝利ということで
Uj0_aau0B6A-00338-00098350-00098973 おめでとうございます。
Uj0_aau0B6A-00342-00099873-00100087 はい
Uj0_aau0B6A-00343-00100088-00100532 初めての価値でございます
Uj0_aau0B6A-00346-00101085-00101330 いやーなんかねー
Uj0_aau0B6A-00347-00101331-00101621 正直途中きつかったんですけど
Uj0_aau0B6A-00348-00101622-00102029 横でクワッていってめっちゃ早く食べてる
Uj0_aau0B6A-00349-00102030-00102312 ていると なんかこう
Uj0_aau0B6A-00350-00102313-00102519 すごい安心感というか
Uj0_aau0B6A-00351-00102520-00102822 一気に気持ちが重なって
Uj0_aau0B6A-00352-00102823-00103103 またPSを取り戻しちゃうんです
Uj0_aau0B6A-00353-00103104-00103464 一人で食べたら
Uj0_aau0B6A-00354-00103465-00103689 こんなケースに食えなかったと思う
Uj0_aau0B6A-00355-00103690-00103921 ですけど西郷とか
