CFWRJ0FZ1S8-00001-00001898-00002354 クヨクビシチョウ!イジジェデザイン!
EbVYXuRc63y-00889-00315146-00315721 だったら力づくで追い出してみるか
EbVYXuRc63y-00890-00315722-00316187 そんなことできやしねえけどな
EbVYXuRc63y-00902-00325004-00325293 戦闘開始
EbVYXuRc63y-00906-00326769-00327086 家の中にあったものです
EbVYXuRc63y-00910-00328109-00328305 どっちが?
EbVYXuRc63y-00914-00329603-00330348 今お前に待てる気がするの
EbVYXuRc63y-00919-00331583-00331786 手荒れで俺なんだ
EbVYXuRc63y-00923-00333080-00333337 もうこれくらいでいいだろ
EbVYXuRc63y-00924-00333338-00333743 お前じゃ俺に勝てねえってばよ
EbVYXuRc63y-00931-00340224-00340378 どうだ
EbVYXuRc63y-00932-00340379-00340933 したらずっとしたかよ おい
EbVYXuRc63y-00939-00342794-00343523 だって俺は一体なんだったんだ
EbVYXuRc63y-00940-00343524-00343699 お前がいたから
EbVYXuRc63y-00941-00343700-00343836 俺は強くなれた
EbVYXuRc63y-00943-00343997-00344262 おかげでここまで来られたのか
EbVYXuRc63y-00948-00345197-00345644 一問簡単だろ
EbVYXuRc63y-00949-00345645-00345891 お前は俺になればいい
EbVYXuRc63y-00950-00345892-00346388 お前も俺なんだから
EbVYXuRc63y-00952-00346650-00346829 今まで
EbVYXuRc63y-00953-00346830-00347069 ありがとう
EbVYXuRc63y-00954-00347070-00347517 もういいんだ
EbVYXuRc63y-00957-00350654-00350948 ナルト
EbVYXuRc63y-00958-00350949-00351191 大将山戸
EbVYXuRc63y-00960-00351404-00351890 タコのおっさんもいたのか
EbVYXuRc63y-00961-00351891-00352073 その感じは
EbVYXuRc63y-00962-00352074-00352470 うまくいったんだね
EbVYXuRc63y-00964-00352703-00353346 喜ぶのはまだ早いぜ、バカ野郎、この野郎
EbVYXuRc63y-00965-00353347-00353896 と言いたいところだが、まずはよくやった。
EbVYXuRc63y-00966-00353897-00354124 よくぞ憎しみ克服
EbVYXuRc63y-00967-00354125-00354681 そんなお前とても幸福
EbVYXuRc63y-00969-00354823-00355074 これから9位の力のコントロールをやって
EbVYXuRc63y-00971-00355324-00355653 今から俺がお前の師匠
EbVYXuRc63y-00972-00355654-00356326 覚悟を決めろ!でないと!死者を!
EbVYXuRc63y-00975-00356926-00357285 改めて挨拶だ。俺様の軍に軍を重ねろ。
EbVYXuRc63y-00976-00357286-00357794 ビートかましながら
EbVYXuRc63y-00977-00357795-00358448 言う!俺はナルトだってば言う!
EbVYXuRc63y-00979-00358547-00359056 てばよってばよってよー
EbVYXuRc63y-00980-00359057-00359535 うるせえって言えばいいのう!
EbVYXuRc63y-00986-00370654-00371058 次にしようかまずは場所を変える滝の裏?
EbVYXuRc63y-00988-00371173-00371329 その修行を
EbVYXuRc63y-00991-00371565-00371933 時の裏ってまずはしっかり行動
EbVYXuRc63y-00992-00371934-00372140 びっくり
EbVYXuRc63y-00994-00372224-00372361 なると
EbVYXuRc63y-00995-00372362-00373463 とりあえず行ってみよう
Ef05RSdwflQ-00001-00000481-00000839 こんにちはこんまりこと近藤まりえです
Ef05RSdwflQ-00002-00000840-00001169 先日私ですねTOBUSさんに特集していただいたんですけど
Ef05RSdwflQ-00003-00001170-00001307 海外
Ef05RSdwflQ-00004-00001308-00001612 P室の裏側ということで
Ef05RSdwflQ-00005-00001613-00001768 何かどうやってきたのか
Ef05RSdwflQ-00008-00002496-00002681 たくさんあったなっていう風に
Ef05RSdwflQ-00009-00002682-00002902 思うでどうして今までこうやって
Ef05RSdwflQ-00010-00002903-00003113 乗り越えてくれたんだろう
Ef05RSdwflQ-00011-00003114-00003304 と考えると
Ef05RSdwflQ-00012-00003305-00003533 のおかげだったなっていうふうに
Ef05RSdwflQ-00013-00003534-00003838 思いました
Ef05RSdwflQ-00014-00003839-00004085 っていうのは物理的な形で
Ef05RSdwflQ-00015-00004086-00004235 をすることで
Ef05RSdwflQ-00016-00004236-00004445 にボケやすくなるっていうのも
Ef05RSdwflQ-00017-00004446-00004745 なんですが 心の片付けだったり
Ef05RSdwflQ-00018-00004746-00005027 頭の中の片付けっていうのに本当につながって
Ef05RSdwflQ-00020-00005286-00005554 今の自分にとって何が一番大事なのか
Ef05RSdwflQ-00021-00005555-00005885 大切なのか、何をやるべきなのか
Ef05RSdwflQ-00022-00005886-00006136 すると今自分が幸せなのかということ が
Ef05RSdwflQ-00023-00006137-00006448 そうしてくると周りの人が
Ef05RSdwflQ-00024-00006450-00006689 環境が大変なことがあったり辛いことが
Ef05RSdwflQ-00025-00006690-00006970 今私はこれをやるべきだと思っています
Ef05RSdwflQ-00026-00006972-00007234 なんだっていうことに集中して
Ef05RSdwflQ-00027-00007236-00007559 気合を入れて前に進むことが
Ef05RSdwflQ-00028-00007559-00007792 もちろん怖さはあるけれども
Ef05RSdwflQ-00030-00008004-00008219 やっぱり片付けってすごいなっていう風に
El3IqdmynxQ-00010-00003140-00003476 今回集まってもらったのは他でもない
El3IqdmynxQ-00013-00003786-00004206 ちょっと待ってくれてもらおう 今の宿命は終わった
El3IqdmynxQ-00015-00004307-00004828 リプはさっきの任務の影響で、証の疲労がかなり溜まったしかし
El3IqdmynxQ-00016-00004829-00005052 今回の任務のため
El3IqdmynxQ-00017-00005053-00005570 博士の代役として
El3IqdmynxQ-00018-00005571-00005764 僕がヤマトだ
El3IqdmynxQ-00019-00005765-00006068 よろしくお願いします
El3IqdmynxQ-00021-00006304-00006908 718だった第7版に
El3IqdmynxQ-00022-00006909-00007034 サイです。
El3IqdmynxQ-00025-00007398-00007543 こいつは
El3IqdmynxQ-00026-00007544-00007909 サスケの代わりだったの君が渦巻ナルト君だね
El3IqdmynxQ-00031-00008582-00008855 あっていきなり喧嘩はないでしょ
El3IqdmynxQ-00034-00009353-00009588 次に任務の話だが
El3IqdmynxQ-00035-00009589-00009966 もうない。暁のさそりと交戦してさい。
El3IqdmynxQ-00036-00009967-00010620 奴のスパイがオロツマリの元にいることを知って、そのスパイとサソリが近日中に草学園の天使教で…
El3IqdmynxQ-00037-00010621-00010855 連絡を取り合うぜ正直
El3IqdmynxQ-00039-00011230-00011735 ヒーローはあの内葉さすけの情報が手に
El3IqdmynxQ-00040-00011736-00012194 助けの情報は?そこでお前たちは今から天地峡に向かい
El3IqdmynxQ-00042-00012581-00012677 了解しました
El3IqdmynxQ-00045-00013551-00014174 先ほど御代目様から言いつかった通り、オロチマルの情報と内葉さすけの情報を手に入れることはできません。
El3IqdmynxQ-00046-00014175-00014358 チャンスだけみんな
El3IqdmynxQ-00047-00014359-00014712 心してかかるように
El3IqdmynxQ-00048-00014713-00014791 はい
El3IqdmynxQ-00050-00015072-00015937 おつかれさまです
El3IqdmynxQ-00056-00018163-00018391 そんなに認めねえ
El3IqdmynxQ-00057-00018392-00018755 俺は絶対に…成田いや
El3IqdmynxQ-00058-00018756-00019394 木の葉を裏切り、力を求めてオロチマルの元へと走ったゴミ虫野郎と一緒に…
El3IqdmynxQ-00061-00019935-00020202 二人ともそこまでいいかい?
El3IqdmynxQ-00062-00020203-00020554 確かに僕たちは急遽結成してもね
El3IqdmynxQ-00063-00020555-00020914 任務は必ず成功させなくてはいけない
El3IqdmynxQ-00067-00021325-00022070 協力するここはい
El3IqdmynxQ-00077-00026286-00026469 いい動きだ
El3IqdmynxQ-00080-00027042-00027354 ところで、何の用です?
El3IqdmynxQ-00081-00027355-00027598 先輩これを渡しに来た
El3IqdmynxQ-00082-00027599-00028029 団蔵様からの贈り物だ
El3IqdmynxQ-00087-00028850-00029120 お前に与えられた国費任務は
El3IqdmynxQ-00088-00029122-00029627 里の未来を見据えた断蔵失敗は許されぬ
El3IqdmynxQ-00089-00029627-00030080 わかっています
El3IqdmynxQ-00092-00030512-00030818 これは
El3IqdmynxQ-00093-00030819-00031264 ねには名前はない過去はない
El3IqdmynxQ-00094-00031264-00031489 あるのは任務
El3IqdmynxQ-00095-00031489-00031987 木の葉という大木を目に見えぬ地の中より支える
El3IqdmynxQ-00096-00031988-00032160 我々
El3IqdmynxQ-00106-00036258-00036594 シミュレーション?ああ、ナルトとサイ
El3IqdmynxQ-00107-00036595-00036971 君たち二人はなんでわざわざそんなことを
El3IqdmynxQ-00108-00036972-00037295 今回の班は結成して間もない上に
El3IqdmynxQ-00110-00037444-00037761 これから遂行する任務では、特に
El3IqdmynxQ-00111-00037762-00038035 医療忍者である桜以外の二人
El3IqdmynxQ-00112-00038036-00038154 つまりは
El3IqdmynxQ-00113-00038155-00038395 だからこそのシミュレーションだよ
El3IqdmynxQ-00114-00038396-00038583 バカね
El3IqdmynxQ-00115-00038584-00038760 そういうことが
El3IqdmynxQ-00116-00038761-00039086 なったら好きなだけ俺が先に突っ込んでやるって
El3IqdmynxQ-00117-00039087-00039586 分かったよ二人とも準備はいいようだねちなみにこれからのシミュレーションには
El3IqdmynxQ-00118-00039587-00040023 他の自分の里の忍びだからって変に
El3IqdmynxQ-00121-00040688-00040967 あんたはそうでしょ
El3IqdmynxQ-00122-00040968-00041288 さて、それじゃ早速始めようか
El3IqdmynxQ-00124-00041393-00041677 では
El3IqdmynxQ-00127-00042462-00042980 よし、手加減抜けてやるからな、さくらちゃん!
El3IqdmynxQ-00130-00043650-00044273 それじゃまずは複数の敵を効率よく倒せるかそれを確かめさせてもらおうかな
El3IqdmynxQ-00131-00044274-00044639 チームワークが悪いと効率よく倒せないけどね
El3IqdmynxQ-00133-00044792-00045415 やませてくださいお前に言われなくてもやってやるってか研修学校で言ってよい
El3IqdmynxQ-00135-00045665-00046693 楽しませてくれよ
El3IqdmynxQ-00137-00046839-00047153 早く出発しろぜ!
El3IqdmynxQ-00138-00047154-00047727 まるで君がクリアできるんだよ
El3IqdmynxQ-00139-00047728-00048321 いやいや、やっぱりティフティはめちゃくちゃなんだってばよ!いや…喋るって言うわけよ
El3IqdmynxQ-00144-00049869-00050201 大事なのは 人間ってこと
El3IqdmynxQ-00149-00052071-00052462 今日口が泳がれた 物価サッチーとして
El3IqdmynxQ-00155-00053644-00053954 君に期待してなかん?
El3IqdmynxQ-00160-00055055-00055465 悪い海を
El3IqdmynxQ-00168-00058883-00059117 僕は誤解されやすいけど
El3IqdmynxQ-00169-00059119-00059269 悪気はないんだよ
El3IqdmynxQ-00178-00061758-00063022 だってやれじゃないとこ見せてほしいね
El3IqdmynxQ-00180-00063167-00063407 僕は誤解されやすいけど
El3IqdmynxQ-00181-00063408-00064041 悪気はないんだよ
El3IqdmynxQ-00183-00064308-00066086 ご視聴ありがとうございました
El3IqdmynxQ-00187-00067020-00067410 ギリギリ合格ってとこじゃんけ無事に倒せたみたいだね
El3IqdmynxQ-00189-00067534-00068030 それじゃあね。
El3IqdmynxQ-00192-00068548-00069175 どうするんだよ
El3IqdmynxQ-00195-00069683-00070356 おいちぃにうまくやっていこうじゃないのに
El3IqdmynxQ-00206-00073961-00074243 まあ、下人の割には強いですね
El3IqdmynxQ-00207-00074244-00074717 はい、とりあえず、何様?何様って、おぼえ?
El3IqdmynxQ-00208-00074718-00074954 素敵な相手を用意しておいた
El3IqdmynxQ-00209-00074955-00075274 今度は少しテロアイソー
El3IqdmynxQ-00211-00075388-00075731 張り切っていこう次おやりは
El3IqdmynxQ-00212-00075732-00076643 ちょっと、もうちょっと、 拭かしくしてもらおう。
El3IqdmynxQ-00213-00076644-00077276 じられない 中4分4分となっているのは
El3IqdmynxQ-00214-00077277-00077541 ご視聴ありがとうございました
El3IqdmynxQ-00215-00077542-00077991 今頃って言ってますか?あたりは悪いんで
El3IqdmynxQ-00221-00080385-00080575 口だけやろうじゃないとこ
El3IqdmynxQ-00226-00081913-00082536 どっちが上か?一回アクシー食べてー
El3IqdmynxQ-00229-00083276-00083487 よりするべきんじゃ
El3IqdmynxQ-00235-00084846-00085432 こっちが上だ、こっちが下、あっちって出てる。
El3IqdmynxQ-00237-00085657-00085983 すぐに渡りますよ
El3IqdmynxQ-00238-00085984-00086435 は?いや、ニープを伝えてもらいます
El3IqdmynxQ-00246-00088976-00089924 この俺が、お手をつむぞ!
El3IqdmynxQ-00249-00090246-00090480 よくは誤解されやすいけど
El3IqdmynxQ-00250-00090481-00090697 悪気はないんだよ
El3IqdmynxQ-00251-00090698-00091058 さようなら、ナルト。
El3IqdmynxQ-00252-00091059-00091792 おー!それくらいチニュレーションだから手加減しないと!
El3IqdmynxQ-00254-00091957-00092482 さあ、大抵がトラブルを感じたからって、 茶色の手に入れてから行くかよ。
El3IqdmynxQ-00255-00092483-00092785 こっちだと電力でかぶるわわ
El3IqdmynxQ-00256-00092786-00093094 仲良くなって壁文字に伝えるようになったんだな
El3IqdmynxQ-00257-00093095-00093443 いや、僕はどこに行ったらいい? 僕はどこに行ったの?
El3IqdmynxQ-00258-00093444-00093819 だーべれ
El3IqdmynxQ-00260-00094421-00094631 シュッ
El3IqdmynxQ-00262-00094745-00095361 こっちがおかん、いっかさちゅうきかけよで。
El3IqdmynxQ-00266-00096686-00097012 どうしたの? もう寝てたの?そう、あんた
El3IqdmynxQ-00267-00097013-00097376 自分まで悪いのにねえサバダ
El3IqdmynxQ-00268-00097377-00097698 15ですって
El3IqdmynxQ-00269-00097699-00098046 この俺が送り続ける
El3IqdmynxQ-00271-00098899-00099848 血だてやろうじゃないとこ!
El3IqdmynxQ-00273-00100038-00100150 知られない
El3IqdmynxQ-00278-00101427-00101665 僕は誤解されやすいけど
El3IqdmynxQ-00283-00103584-00103854 うわぁいいなさくらちゃん!いい歌って!
El3IqdmynxQ-00287-00106010-00106504 へへ、どうだ!俺の力、惜しかったね!はっ!
El3IqdmynxQ-00289-00106723-00107190 ドッドドッドッさっきのは僕の目分身が変化した
El3IqdmynxQ-00290-00107191-00107843 まだまだ爪が甘いね
El3IqdmynxQ-00291-00107844-00108506 くそぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぇぇぇぇぇぇぇぇぇい iいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいい
El3IqdmynxQ-00292-00108507-00109048 シミュレーションはこれで終わりだ。
El3IqdmynxQ-00293-00109049-00109377 随分と間抜けなんだねナルト君
El3IqdmynxQ-00294-00109378-00109646 最後まで分子
El3IqdmynxQ-00295-00109647-00110000 ジェル!ん? もちろん。
El3IqdmynxQ-00297-00110222-00110746 教えていたとしても
El3IqdmynxQ-00299-00110923-00111240 仲間って本当に
El3IqdmynxQ-00300-00111241-00111458 それくらい知ってますが
El3IqdmynxQ-00301-00111459-00111938 それがなんか…くっつきやがって…ふざけてなんかいないよ
El3IqdmynxQ-00302-00111939-00112213 僕は正論を言っているだけですそもそも
El3IqdmynxQ-00303-00112214-00112494 君の個人能力は体調よりも低い
El3IqdmynxQ-00304-00112495-00113011 負けるのが分かっているのに戦うのはだからあえて教えなかったってことだ
El3IqdmynxQ-00305-00113013-00113202 はい
El3IqdmynxQ-00307-00113353-00113874 サスティ君ならどうしましたか僕とは違う行動を行ったでしょうか
El3IqdmynxQ-00308-00113875-00114045 佐藤を裏切り
El3IqdmynxQ-00309-00114046-00114581 君を傷つけた人を仲間とその仲間を救うためだ
El3IqdmynxQ-00314-00115628-00115886 いろいろ問題はあるが
El3IqdmynxQ-00315-00115888-00116068 ナルトとサイ
El3IqdmynxQ-00324-00120182-00120511 サイン、そろそろ出発するわよ
El3IqdmynxQ-00326-00120977-00121553 これ、印刷じゃないわね。ああ。
El3IqdmynxQ-00327-00121554-00121862 へぇー、日本か。
El3IqdmynxQ-00328-00121863-00122056 それはダメだよ
El3IqdmynxQ-00329-00122057-00122183 それに
El3IqdmynxQ-00330-00122184-00122447 他人には渡さないことにしてるんだ
El3IqdmynxQ-00331-00122448-00123050 兄さんって、サイ?今はもう死んじゃって。あ、そう。
El3IqdmynxQ-00332-00123051-00123428 でも、あなたにもお兄さんがいたのなら、
El3IqdmynxQ-00333-00123429-00123923 ナルトは、サスケ君のこと、ちょっ…分からない。え?
El3IqdmynxQ-00334-00123924-00124304 確かに、僕にも兄と呼べる人がいたけど
El3IqdmynxQ-00335-00124305-00124776 でもそれどころか、一体どういう顔をすればよいのか。
El3IqdmynxQ-00336-00124777-00124901 えって
El3IqdmynxQ-00337-00124902-00125098 そう
El3IqdmynxQ-00338-00125099-00125289 おい!なんで!
El3IqdmynxQ-00339-00125290-00125452 何やってんのよさぐらちゃん
El3IqdmynxQ-00340-00125453-00125773 そろそろ行きましょう
ErWjyR79eAI-00000-00000152-00000508 はいではここではねフリッピティ
ErWjyR79eAI-00001-00000509-00001032 の使い方やっていきますはい
ErWjyR79eAI-00002-00001033-00001350 こうやってこのページに入ってもらうと
ErWjyR79eAI-00003-00001351-00001579 いろいろあるんですね
ErWjyR79eAI-00004-00001580-00001978 あるんですけれども じゃあ今日はこれですね
ErWjyR79eAI-00005-00001979-00002323 ランダムネインピッカー これをやっていきます
ErWjyR79eAI-00006-00002324-00002824 全部のゲームやアクティビティがそうですけれども
ErWjyR79eAI-00007-00002825-00003343 デモ インストラクション テンプレートがありますデモを見れば
ErWjyR79eAI-00008-00003344-00003684 これはどういうものなのかな 例えば今日やるやつはこれですね
ErWjyR79eAI-00009-00003685-00004150 学生の名前を登録しておいて
ErWjyR79eAI-00010-00004151-00005376 こうやってまねルーレットを回して学生を開けるねこれだけじゃなくてねこう 一人ずつこうねランダム提示していく
ErWjyR79eAI-00011-00005377-00005800 列に並べるというのもありますねこうやってね
ErWjyR79eAI-00012-00005801-00006150 まあこれねなんか試験の順番を決めたりするときにね
ErWjyR79eAI-00013-00006151-00006532 ランダムで決まりますからね あとは
ErWjyR79eAI-00014-00006533-00006717 これは
ErWjyR79eAI-00015-00006718-00006959 2人ずつのグループにする
ErWjyR79eAI-00016-00006959-00007445 これは3人ずつ4人ずつ5人ずつのグループにするというのもできるし
ErWjyR79eAI-00017-00007445-00007793 2チームに分けます 3チームに分けます
ErWjyR79eAI-00018-00007794-00008273 4チームに分けます 5チームに分けます などということができます
ErWjyR79eAI-00019-00008274-00008722 あと 積順 積順なんかも
ErWjyR79eAI-00020-00008723-00008966 決めることができます
ErWjyR79eAI-00021-00008967-00009367 ねこうこれを押したらねあのランダムで変わりますね
ErWjyR79eAI-00023-00009479-00010075 これ前5列ありますけど うちの教室来ないよと 4人しか座れないよっていう
ErWjyR79eAI-00026-00010261-00010575 1少なくしてやって後ろを増やしてやれば
ErWjyR79eAI-00027-00010576-00010947 いくらでもカスタマイズできますねこのような
ErWjyR79eAI-00028-00010948-00011649 あとなんか欠席している学生がいるときなんかにこれを押してこの人来てない来てない
ErWjyR79eAI-00029-00011650-00012030 来てないとかってすると
ErWjyR79eAI-00030-00012031-00012698 この中からもチェックした学生が省かれるようになってますね
ErWjyR79eAI-00031-00012699-00013216 では この作り方 見ていきましょう
ErWjyR79eAI-00033-00013434-00013738 ちょっと待ってくださいね
ErWjyR79eAI-00034-00013738-00014101 それで最初の画面に戻ってはいいかな
ErWjyR79eAI-00035-00014102-00014716 デモでどんなものかを見てあとインストラクションを見ると
ErWjyR79eAI-00036-00014716-00014847 作り方書いてます
ErWjyR79eAI-00037-00014849-00015466 冷静にこれに従っていけば絶対できますけどなかなかちょっと面倒ですよね
ErWjyR79eAI-00038-00015466-00015736 読んだりするのもね
ErWjyR79eAI-00039-00015737-00016038 だからこうやって動画作ってますはいじゃあいってみましょう
ErWjyR79eAI-00040-00016040-00016497 テンプレートをクリックするとこうやってGoogle
ErWjyR79eAI-00041-00016498-00017076 スプレッドシートコピーを作成しますかというのが出てきます作成します
ErWjyR79eAI-00042-00017077-00017577 すると Google スプレッドシートが すぐに立ち上がります
ErWjyR79eAI-00043-00017578-00017919 はいねでこここれは
ErWjyR79eAI-00044-00017920-00018345 ねあのでもで使っている学生ですよねじゃあこれを
ErWjyR79eAI-00045-00018346-00018759 消しますねで自分の学生をここに入れます
ErWjyR79eAI-00046-00018760-00019242 例えば学生は普通なんかエクセルシートとかでね多分表があると思うんで
ErWjyR79eAI-00047-00019243-00019399 これを
ErWjyR79eAI-00049-00019792-00020358 すればそれで終わりですねあとフォトってありますから写真を入れたら写真も一緒に出
ErWjyR79eAI-00050-00020359-00020463 くんのかな
ErWjyR79eAI-00051-00020464-00020928 とにかく自分の学生ここ入れますね
ErWjyR79eAI-00052-00020929-00021103 入れて
ErWjyR79eAI-00053-00021104-00021508 これでもうほぼ終わりですファイルですね
ErWjyR79eAI-00055-00021728-00022343 web に公開をします web に公開をして
ErWjyR79eAI-00056-00022344-00023202 公開この選択を公開してもよろしいですかはいよろしいですはいそれでOK
ErWjyR79eAI-00057-00023203-00023496 これで
ErWjyR79eAI-00058-00023497-00023683 消します
ErWjyR79eAI-00059-00023684-00024550 でその次ですその次 ちょっとこれがあるじゃんあれこれはねあの子にゲット
ErWjyR79eAI-00060-00024551-00025135 リンク日あっておりますね これをこのタブに移動しますするとここに url
ErWjyR79eAI-00061-00025136-00025446 が出ています これを
ErWjyR79eAI-00062-00025447-00025903 コピーしますねでこれをコピーして
ErWjyR79eAI-00064-00026062-00026387 それを例えば授業どこかに保存しておきます
ErWjyR79eAI-00065-00026388-00026674 例えばシークレットウィンドウで見てみましょう
ErWjyR79eAI-00066-00026675-00027005 貼り付けましたURLをいきます
ErWjyR79eAI-00067-00027006-00027570 すると、おー素晴らしい。先ほど私が学生入力しましたね。
ErWjyR79eAI-00068-00027572-00027882 これがもうこれになってるわけですよね
ErWjyR79eAI-00069-00027883-00028351 はいじゃあ次話す人はあって
ErWjyR79eAI-00070-00028352-00028951 はいじゃあ木村さんおめでとうございますね みたいなそんな感じですね
ErWjyR79eAI-00071-00028952-00029730 全部この名前は私が入力したものになってますじゃあ試験の順番決めますよパッ
ErWjyR79eAI-00072-00029731-00030162 とか言ってはいじゃあ1番加藤さん2番田中さんみたいなね
ErWjyR79eAI-00073-00030163-00030352 はいじゃあこの順番で今日試験します
ErWjyR79eAI-00074-00030354-00030974 からねこれできます じゃあ3人ずつのグループ
ErWjyR79eAI-00075-00030975-00031477 じゃじゃじゃじゃじゃじゃんはいじゃあこれ分かれてくださーい
ErWjyR79eAI-00076-00031477-00031987 素晴らしいですねはいまあこういうことができるわけです
ErWjyR79eAI-00077-00031988-00032289 あとこの辺はよく分かりませんけどなんだろう
ErWjyR79eAI-00078-00032291-00032564 時間を計るものとかあったり
ErWjyR79eAI-00079-00032566-00033004 なんだろう あっいいですねなんか
ErWjyR79eAI-00080-00033005-00033402 活動の時間とか分かれるのかなとにかく
ErWjyR79eAI-00081-00033403-00033719 できましたよね
ErWjyR79eAI-00082-00033720-00034058 こんな簡単にこういうものが作れるわけです
ErWjyR79eAI-00083-00034059-00034478 ですからね例えば
ErWjyR79eAI-00085-00034659-00035067 このさっきのURLね
ErWjyR79eAI-00086-00035068-00035443 これを保存しておけばいいわけですこれを
ErWjyR79eAI-00087-00035444-00035718 なんだろう例えば
ErWjyR79eAI-00089-00035959-00036552 ブックマックバーとかに入れておけば いつでもここに呼び出せるわけですね
ErWjyR79eAI-00090-00036553-00037047 例えば同じようなクラスが3つあるっていう場合にこれを3つ作り
ErWjyR79eAI-00091-00037048-00037113 いいですね
ErWjyR79eAI-00092-00037114-00037662 別々にURLが出るからここに3つ保存しておいて
ErWjyR79eAI-00093-00037663-00037933 例えば編集して
ErWjyR79eAI-00094-00037934-00038214 おっ
ErWjyR79eAI-00095-00038215-00038453 クラスとか
ErWjyR79eAI-00096-00038454-00038879 やっておくとはい じゃあ皆さん
ErWjyR79eAI-00097-00038880-00039503 順番切れますよーっつったらここ a クラスをクリックしたらもうすぐ出てくるというわけ
ErWjyR79eAI-00098-00039504-00039626 ですね
ErWjyR79eAI-00099-00039627-00040112 素晴らしいですね 大体全部
ErWjyR79eAI-00100-00040113-00040451 分かんない いくつかしか見てないですけど
ErWjyR79eAI-00101-00040452-00040981 フリッピキの作り方は大体こんな感じです
ErWjyR79eAI-00102-00040982-00041237 スプレッドシートを
ErWjyR79eAI-00104-00041383-00041754 ここで編集して 自分のカスタマイズして
ErWjyR79eAI-00105-00041755-00041948 でここに
ErWjyR79eAI-00106-00041949-00042362 出てくるリンクを保存しておく そういうやり方です
ErWjyR79eAI-00107-00042363-00042721 役に立てばいいかな幸いです
ErWjyR79eAI-00108-00042722-00043421 はい じゃあどうも ここまでですはい じゃあお疲れさまでした
Eujb5icfi3c-00000-00000274-00000678 私は同じ木の下に座っていた。
Eujb5icfi3c-00001-00000679-00000986 朝の瞑想の時間だったからだ
Eujb5icfi3c-00002-00000988-00001550 それにしても、あの忌々しい鳥、決して忘れられない。
Eujb5icfi3c-00003-00001551-00001701 ことはないだろう
Eujb5icfi3c-00004-00001702-00002037 あれはこの土地に固有のものだとは思えない。
Eujb5icfi3c-00006-00002206-00002349 それは多分
Eujb5icfi3c-00007-00002350-00002607 笑いかわせになった
Eujb5icfi3c-00009-00002712-00003016 ああいうものは迷惑千万だ
Eujb5icfi3c-00010-00003017-00003352 いくつかの石を投げるとそれは正確に戻ってくる
Eujb5icfi3c-00011-00003353-00003661 行って来た次の日の朝
Eujb5icfi3c-00012-00003663-00003936 私はとても早く木に登り、
Eujb5icfi3c-00013-00003936-00004154 笑いかわせみが目を覚まし
Eujb5icfi3c-00014-00004155-00004533 蜂と葉の房をつけた私は
Eujb5icfi3c-00015-00004534-00004771 笑いかわすみのように見えた
Eujb5icfi3c-00016-00004772-00004954 とてもすばらしかった
Eujb5icfi3c-00017-00004955-00005311 若い鳥が来て私の横に止まっていたが
Eujb5icfi3c-00018-00005312-00005731 それだけで私は計画が終わったとは思った
Eujb5icfi3c-00019-00005732-00006434 おわぁ
Eujb5icfi3c-00020-00006436-00006783 解決できないと思う
Eujb5icfi3c-00021-00006784-00006966 自ら呼ぶもの
Eujb5icfi3c-00022-00006967-00007343 私はそれを何と呼ぶべきかと思った
Eujb5icfi3c-00023-00007344-00007588 ああいうなきに何ならないと思う
Eujb5icfi3c-00024-00007589-00008054 僕のアンタゴニストになるつもりなら私が少ない
Eujb5icfi3c-00025-00008055-00008637 私の隠れ家の名前を持たなければならない。
Eujb5icfi3c-00028-00009596-00009998 もう多数はキャラクター開発の余地がなく
Eujb5icfi3c-00029-00009999-00010328 隠れ家というのは少しものを追加すると
Eujb5icfi3c-00030-00010329-00010738 ためにできることのほんの一部だ
Eujb5icfi3c-00031-00010739-00010964 私は一緒に行った
