-4ff7nskf1y-00000-00000027-00000399 トンプソンハウス来ました
uRavsTSn4jy-00187-00047047-00047253 説明してますよっていうのを文字を見ると
uRavsTSn4jy-00188-00047254-00047448 なんとなく終わりよい
uRavsTSn4jy-00189-00047449-00047628 なので最初の方はちょっと基本だから
uRavsTSn4jy-00190-00047629-00047874 こんなの分かっている中盤で
uRavsTSn4jy-00191-00047875-00048042 こんな機能ちょっと見たことないから
uRavsTSn4jy-00192-00048043-00048240 ちょっと見てみようかなとか
uRavsTSn4jy-00193-00048241-00048432 っていうのが簡単にできるようになって
uRavsTSn4jy-00194-00048433-00048603 ます
uRavsTSn4jy-00195-00048604-00048798 動画ファイルはダウンロード可能です
uRavsTSn4jy-00196-00048799-00048999 例えばお手持ちのスマートフォン
uRavsTSn4jy-00198-00049249-00049470 できるようになっております
uRavsTSn4jy-00199-00049471-00049890 DOIというのがついています
uRavsTSn4jy-00200-00049891-00050178 最近ですねあの1950本動画が上がって
uRavsTSn4jy-00201-00050179-00050391 ますよということがあるので実際に
uRavsTSn4jy-00202-00050392-00050568 皆さんそれぞれですねどういう
uRavsTSn4jy-00203-00050569-00050676 インフォマティクスのツールと
uRavsTSn4jy-00204-00050677-00050856 データベースを使いたいっていう のは
uRavsTSn4jy-00205-00050857-00051204 センサー判別あると思いますなので何を見た
uRavsTSn4jy-00206-00051204-00051324 いいのかちょっとよくわかんないんで
uRavsTSn4jy-00207-00051325-00051667 けどという声をよくいただきますなので
uRavsTSn4jy-00208-00051669-00051902 2020年のリニューアルの時に
uRavsTSn4jy-00209-00051903-00052105 というものを作りました スキル別コース
uRavsTSn4jy-00210-00052107-00052337 ものを作りましてある目的に対して
uRavsTSn4jy-00211-00052338-00052555 この順でこの動画を見ていくとですね
uRavsTSn4jy-00212-00052557-00052700 こういうことができるようになります
uRavsTSn4jy-00213-00052701-00052954 っていうことを体系的にですね
uRavsTSn4jy-00214-00052955-00053249 できる動画のリスト集です これはもともと
uRavsTSn4jy-00215-00053250-00053483 YouTubeの再生リストという
uRavsTSn4jy-00216-00053484-00053778 のがありますけれども あれを利用して実装
uRavsTSn4jy-00217-00053779-00054007 おります
uRavsTSn4jy-00218-00054008-00054256 今回皆さん参加者は割と額
uRavsTSn4jy-00219-00054257-00054517 先生さんとか大学に入りたての方とかが
uRavsTSn4jy-00220-00054518-00054740 結構多いという話を聞いたので
uRavsTSn4jy-00221-00054741-00054937 紹介すると良いのかなと思って今
uRavsTSn4jy-00222-00054938-00055180 ますがラボの新人がまずマスターした
uRavsTSn4jy-00223-00055181-00055346 データベースウェブツールということ
uRavsTSn4jy-00224-00055347-00055586 研究室に入ってきた新人向けということは
uRavsTSn4jy-00225-00055587-00055843 ということで作ったんですけれども 結構汎用な
uRavsTSn4jy-00226-00055844-00056094 が入っております 例えば論文をどうやって
uRavsTSn4jy-00227-00056095-00056352 探したらいいかとかっていう方法とか
uRavsTSn4jy-00228-00056353-00056559 研究発表資料の作成に必要な
uRavsTSn4jy-00229-00056560-00056820 パワーポイントっていうプレゼンテーション
uRavsTSn4jy-00230-00056821-00056994 ツールがありますけどこれでじゃあ
uRavsTSn4jy-00231-00056995-00057132 どうやって作ったらいいかとかって
uRavsTSn4jy-00232-00057133-00057354 実践する方法
uRavsTSn4jy-00233-00057354-00057617 普通の各種サービスを使って研究生活を
uRavsTSn4jy-00234-00057619-00057741 例えばGmailっていう
uRavsTSn4jy-00235-00057741-00057929 メールのサービスになったりとか
uRavsTSn4jy-00236-00057930-00058201 Googleドキュメントとかあれですね
uRavsTSn4jy-00237-00058202-00058385 とか
uRavsTSn4jy-00238-00058386-00058532 の代わりになるGoogleの
uRavsTSn4jy-00239-00058533-00058729 サービスとかがありますけれども
uRavsTSn4jy-00240-00058730-00058937 そういう各種サービスをどう使いこなすと、
uRavsTSn4jy-00242-00059071-00059322 研究生活だけでなく、これから
uRavsTSn4jy-00243-00059323-00059538 きてくれて必須のスキルになる のかなと思います
uRavsTSn4jy-00244-00059539-00059823 まずこの辺のですね10本
uRavsTSn4jy-00245-00059824-00060009 の動画がまとまっておりますので
uRavsTSn4jy-00246-00060010-00060210 ちょっと騙されたと思ってこの辺
uRavsTSn4jy-00247-00060211-00060392 いただくとですね
uRavsTSn4jy-00248-00060394-00060597 確実にスキルアップできるので
uRavsTSn4jy-00249-00060598-00060941 ないかなというふうに思います
uRavsTSn4jy-00250-00060941-00061226 あといくつかこんな感じで
uRavsTSn4jy-00251-00061227-00061405 ラインナップがありますけれども
uRavsTSn4jy-00252-00061407-00061709 成立させていきたいなと思っております
uRavsTSn4jy-00253-00061710-00062048 講習会とか講演会もこんな感じで
uRavsTSn4jy-00254-00062049-00062440 結果の中から出てまいります
uRavsTSn4jy-00255-00062441-00062632 あとゲノム編集というところで
uRavsTSn4jy-00256-00062633-00062935 我々もこういう講習会とかを
uRavsTSn4jy-00257-00062936-00063265 ところで開催してですねそれを動画の
uRavsTSn4jy-00258-00063266-00063478 コンテンツとしてまとめております
uRavsTSn4jy-00259-00063479-00063954 直近だと一昨年かな延期配列解析
uRavsTSn4jy-00260-00063955-00064186 編集をするにはどうしても延期配列回数
uRavsTSn4jy-00261-00064187-00064357 しなきゃいけないという前提に
uRavsTSn4jy-00262-00064358-00064591 あるんですけど
uRavsTSn4jy-00263-00064592-00064741 知識を知ってなきゃいけないとかって
uRavsTSn4jy-00264-00064742-00064904 のはこのこういう
uRavsTSn4jy-00265-00064904-00065101 講習会で遠距離配列解析のため
uRavsTSn4jy-00266-00065102-00065351 データベース Web ツールっていう講習会でやって
uRavsTSn4jy-00267-00065352-00065543 ます であとはもう少し突っ込んで
uRavsTSn4jy-00268-00065544-00065762 ではこの辺はわかりましたということで
uRavsTSn4jy-00269-00065763-00066001 実際にゲノム編集の標的サイト
uRavsTSn4jy-00270-00066002-00066230 検索するなんていうかなり具体的な話
uRavsTSn4jy-00271-00066231-00066401 になってきてますけどこういうような
uRavsTSn4jy-00272-00066402-00066551 ところを取り上げたWebツール
uRavsTSn4jy-00273-00066552-00066767 を使ってゲノム編集の標的サイト を検索する
uRavsTSn4jy-00274-00066768-00067041 という講習会も動画として上がっております。
uRavsTSn4jy-00275-00067042-00067328 これ 繰り返し 何回も復習して
uRavsTSn4jy-00276-00067329-00067547 見ることができますのでこの辺ぜひ
uRavsTSn4jy-00277-00067548-00067742 ちょっと勉強したいなと実際現場として
uRavsTSn4jy-00278-00067743-00067886 どういう作業をするのかなっていうのを
uRavsTSn4jy-00279-00067887-00068099 見たい方はこの辺ご覧いただけると良い
uRavsTSn4jy-00281-00068360-00068526 ちょっと時間がなくなってまいりました
uRavsTSn4jy-00282-00068527-00068726 この辺は飛ばしますが
uRavsTSn4jy-00283-00068727-00069024 次世代シーケンス NGSデータ解析
uRavsTSn4jy-00284-00069025-00069229 キーワード結構ありますけれども
uRavsTSn4jy-00285-00069230-00069597 もあります はいっ
uRavsTSn4jy-00286-00069598-00069855 あと画像がですね、イラストもありますよ。
uRavsTSn4jy-00287-00069856-00070080 という話をしましたけれども統合ピクチャー
uRavsTSn4jy-00289-00070213-00070413 ウェブサイトの右上にですねイラストを探す
uRavsTSn4jy-00290-00070414-00070614 っていうボタンがありますので
uRavsTSn4jy-00291-00070615-00070857 いただくとこういうあのポップラインが
uRavsTSn4jy-00292-00070858-00071145 結構生々しいラストまで
uRavsTSn4jy-00293-00071146-00071391 取り揃えております。今およそ30万人
uRavsTSn4jy-00294-00071392-00071596 1000本ですねイラストが
uRavsTSn4jy-00295-00071597-00071880 上がっております誰でも自由に利用可能です
uRavsTSn4jy-00296-00071881-00072249 のでぜひですねあの皆さんあの学校の
uRavsTSn4jy-00297-00072250-00072523 授業のスライド作成とかポスター作成とか
uRavsTSn4jy-00298-00072524-00072760 作成とかで使っていただければよいかなと思います
uRavsTSn4jy-00300-00072958-00073209 リクエストを募集しておりまして
uRavsTSn4jy-00301-00073210-00073380 右上にリクエストフォームがあります
uRavsTSn4jy-00302-00073381-00073653 ますのでそちらからですね自分がよく
uRavsTSn4jy-00303-00073654-00073839 使ってるのに動画のマニュアルがない
uRavsTSn4jy-00304-00073840-00074031 あとイラストがないように
uRavsTSn4jy-00305-00074032-00074253 の機械はぜひリクエストいただけると
uRavsTSn4jy-00306-00074254-00074595 我々の方も大変助かりまして全て目を通って
uRavsTSn4jy-00307-00074596-00074823 しておりますので そちらからリク
uRavsTSn4jy-00309-00074960-00075162 実現する可能性が上がりますので
uRavsTSn4jy-00310-00075163-00075430 よろしくお願いします
uRavsTSn4jy-00311-00075431-00075616 最後にですけれども
uRavsTSn4jy-00312-00075617-00075862 実は私も元々自分で作ってた
uRavsTSn4jy-00313-00075863-00076117 今は編集という立場で割と
uRavsTSn4jy-00314-00076118-00076417 作ってもらったものを見て
uRavsTSn4jy-00315-00076418-00076537 してもらったりとかっていうことをやってます
uRavsTSn4jy-00316-00076538-00076798 実はこれアルバイトの方に
uRavsTSn4jy-00317-00076799-00077062 全部作ってもらっています
uRavsTSn4jy-00318-00077063-00077305 を制作している方々 随時募集中 ところ
uRavsTSn4jy-00319-00077306-00077543 書いてあるんですけれども 今 オンラインで
uRavsTSn4jy-00320-00077544-00077861 完結する作成環境を整理してますので
uRavsTSn4jy-00321-00077862-00078209 私らは東京の方にいるんですけど
uRavsTSn4jy-00322-00078210-00078449 けど広島の方も
uRavsTSn4jy-00323-00078450-00078812 過去いましたし今も大学院生なんかも国家の
uRavsTSn4jy-00324-00078813-00079097 広島大学の方が参画してくださって
uRavsTSn4jy-00325-00079098-00079340 してくれています データベースとかウェブ
uRavsTSn4jy-00326-00079341-00079497 物理について詳しくないとダメなのか
uRavsTSn4jy-00327-00079498-00079680 とかよく心配されてるから
uRavsTSn4jy-00328-00079681-00079887 いらっしゃるんですけれども当然
uRavsTSn4jy-00329-00079888-00080088 詳しければ詳しいほどいいんですけど
uRavsTSn4jy-00330-00080089-00080310 それはですね 勉強しながら 分かんない人が
uRavsTSn4jy-00331-00080311-00080514 目線で動画を作るとかっていうのを
uRavsTSn4jy-00332-00080515-00080736 重要なことですのでこちらも全然OK
uRavsTSn4jy-00333-00080737-00081045 です一方でアルバイトが
uRavsTSn4jy-00334-00081046-00081258 で借金いただけるんですが
uRavsTSn4jy-00335-00081259-00081487 こればっかやってて本業がおろそかになっても
uRavsTSn4jy-00336-00081488-00081583 いけないので
uRavsTSn4jy-00337-00081584-00081745 一応本業優先というのがポリシー
uRavsTSn4jy-00338-00081746-00081896 なっております
uRavsTSn4jy-00339-00081897-00082063 実際はどういうところでやってるのか
uRavsTSn4jy-00340-00082064-00082201 この辺に動画作ったり
uRavsTSn4jy-00341-00082202-00082559 ご覧いただければよいかなと思います
uRavsTSn4jy-00342-00082560-00082744 すみません 時間ちょっと過ぎましたけれども
uRavsTSn4jy-00343-00082745-00082924 これで終わりたいと思います。ありがとうございました。
uRavsTSn4jy-00344-00082925-00083156 はい
udqf5BWplAg-00000-00000000-00000191 チラシのスプリンカーでいきます
udqf5BWplAg-00001-00000192-00000461 すでに反応が出ているやつを丸パクる
udqf5BWplAg-00002-00000462-00000682 することなんですね
udqf5BWplAg-00003-00000683-00000850 作ったりイメージ作ったりネット で
udqf5BWplAg-00004-00000851-00000989 ダウンとするやつ全部ダウンです
udqf5BWplAg-00005-00000990-00001247 なぜならですね そもそも反応は取れてて今でも
udqf5BWplAg-00006-00001248-00001457 反応が取れて反応が取れたって実績が
udqf5BWplAg-00007-00001458-00001655 かどうかっていうねこれテスト済みの中
udqf5BWplAg-00008-00001655-00001841 って言うんですけど
udqf5BWplAg-00009-00001842-00002002 ですね
udqf5BWplAg-00010-00002003-00002249 今実際にコンサルタントとは
udqf5BWplAg-00012-00002376-00002650 押してて今反応が取れてるもの は私から取れる
udqf5BWplAg-00013-00002651-00002849 これ時代によっても違うし 流暢
udqf5BWplAg-00014-00002850-00003029 それによっても違うし 早くによっても違う
udqf5BWplAg-00015-00003030-00003335 やっぱり今何なの?今テストして何なの?
udqf5BWplAg-00016-00003336-00003443 っていうのが
udqf5BWplAg-00017-00003444-00003635 多分迷うと分からないんですよ
udqf5BWplAg-00018-00003636-00003899 けど私たちって年間で1億円以上
udqf5BWplAg-00019-00003900-00004013 の
udqf5BWplAg-00021-00004164-00004385 1000人以上のですね
udqf5BWplAg-00022-00004386-00004570 してもらってこれってうちの人作って
udqf5BWplAg-00023-00004571-00004817 一番最初にお渡ししてるんで
udqf5BWplAg-00024-00004818-00004972 30万ですけどむちゃくちゃ安いと思います
udqf5BWplAg-00025-00004973-00005152 そうはっきりでそれでね多分
udqf5BWplAg-00026-00005153-00005320 してる前にどうかってやると思ってるんで
udqf5BWplAg-00027-00005321-00005483 多くいると思います
udqf5BWplAg-00028-00005484-00005620 テクニックをまずは勉強して
udqf5BWplAg-00029-00005621-00005729 ファインドランからね
udqf5BWplAg-00030-00005730-00005920 というわけで、ご覧いただきありがとうございます。
ug8FHi4I1U8-00000-00000010-00000371 はいこんにちは骨盤調整コアヨガの村ゆき子です
ug8FHi4I1U8-00001-00000372-00000711 今日はコロナウイルスとかでね
ug8FHi4I1U8-00002-00000712-00001083 なかなか外に出れないと
ug8FHi4I1U8-00003-00001084-00001698 特に小さいお子さんお持ちの産後直後のお母さんとかが2週間で簡単に
ug8FHi4I1U8-00004-00001698-00002011 手がベターっと前屈できるようになる
ug8FHi4I1U8-00005-00002012-00002542 スレッジ4つご紹介しますねぜひお家でやってみてくださいそれでは最初から
ug8FHi4I1U8-00006-00002543-00002686 みます
ug8FHi4I1U8-00007-00002687-00003279 前空チェックですね壁が何かに背中を伏せていただいて
ug8FHi4I1U8-00009-00003611-00003922 まず今日の今の自分の前日天使です
ug8FHi4I1U8-00011-00004011-00004679 大きいやがって一つ目はアキエスキャットの子やりのまんま
ug8FHi4I1U8-00012-00004680-00005234 基本手の壁について右足前左足後ろ足一足分ぐらいですよね
ug8FHi4I1U8-00013-00005235-00005558 足を腰幅にします。
ug8FHi4I1U8-00015-00005645-00005971 両膝曲げてお尻を回したりもします
ug8FHi4I1U8-00016-00005972-00006422 後ろを下ろして、真下に下ろします。
ug8FHi4I1U8-00017-00006423-00007262 をすると左のアキレス腱と左の膝のスプラッグにすごく伸びているのを感じられると思います
ug8FHi4I1U8-00018-00007263-00007526 息を長く吐いているんですね
ug8FHi4I1U8-00019-00007527-00008110 一応、春の雪にもうちょうど降りていくので、 雨が降って、ランチでいいのち。
ug8FHi4I1U8-00020-00008111-00008252 私は反対して言います
ug8FHi4I1U8-00026-00009675-00010152 前の足、膝が足首の真上に来るぐらいでずーっと
ug8FHi4I1U8-00027-00010153-00010406 というわけで、左の
ug8FHi4I1U8-00029-00010556-00010986 もう少し伸びているのが感じ方で呼吸していきます
ug8FHi4I1U8-00031-00011102-00011532 ただ、壁の方に引っ張り付けて、
ug8FHi4I1U8-00035-00011938-00012346 おへそ背中に引き込んで虫そらないようにして
ug8FHi4I1U8-00036-00012347-00012568 毎日毎日
ug8FHi4I1U8-00038-00012925-00013184 濃く伸びるのを感じられそうな
ug8FHi4I1U8-00046-00014735-00014986 で、左がフィン
ug8FHi4I1U8-00047-00014987-00015207 こうやって4文字になるね
ug8FHi4I1U8-00048-00015208-00016185 右の頬の上にも上げて左の足をプレキュスにしていく壁にですね壁に手を置いて進んで吐いて
ug8FHi4I1U8-00049-00016186-00016356 今度は?うん、いいよ
ug8FHi4I1U8-00050-00016357-00017010 下じゃなくて、フォークの後ろの椅子に座るようなイメージで、お膝、右膝を曲げて、
ug8FHi4I1U8-00052-00017070-00017629 この胸の先端を
ug8FHi4I1U8-00054-00017739-00018305 ダビの常に近づけるようなイメージぐーっと常に近づけるようなイメージ
ug8FHi4I1U8-00056-00018599-00018905 下ろしてこの左のこの辺
ug8FHi4I1U8-00057-00018906-00019394 お尻からももの外側あたりが気持ちよく伸びているのを感じていきましょう
ug8FHi4I1U8-00058-00019395-00019846 長く生えていきます。
ug8FHi4I1U8-00059-00019847-00020173 もちろん6寿命ぐらいできれば一番いいですね
ug8FHi4I1U8-00060-00020174-00020755 でも短くても30秒はしていきましょう。
ug8FHi4I1U8-00064-00021740-00023080 おやすみなさい
ug8FHi4I1U8-00065-00023081-00025436 にんにくをつけて、目をかいがしんどがないように、おへそをさらにとっこして、で、目があがったり、目がこっから出たら、おへそをね、上にいって、おへそをね、下にいって、
ug8FHi4I1U8-00091-00034668-00035108 必要です片方までできればしっかりついて
ug8FHi4I1U8-00092-00035109-00035522 指先両方とも壁の本折りを見るようにページ
ug8FHi4I1U8-00093-00035523-00036257 吸って、吐いて、上半身ぐーっと壁に近づけて、左足の膝の真下に足首くるところ。
ug8FHi4I1U8-00094-00036258-00036895 右の膝はしっかり伸びているのを感じましょう
ug8FHi4I1U8-00095-00036896-00037264 余裕があれば壁を押して上半身から
ug8FHi4I1U8-00098-00038109-00038283 右の本線は
ug8FHi4I1U8-00099-00038284-00038805 もうちょっと前に出す感じ左のこっちだ
ug8FHi4I1U8-00100-00038806-00039219 の本物でしっかりとはしていき ましょう
ug8FHi4I1U8-00106-00041249-00041655 でもしっかりでますかね
ug8FHi4I1U8-00107-00041656-00042102 左足ちょっと後ろに行ってみる
ug8FHi4I1U8-00108-00042103-00042943 右足を左足はももが上に4文字で寝てて、で、左足にも寝てるんですね。かぶりを打てる。
ug8FHi4I1U8-00109-00042944-00043538 吸って吐いて後ろに引くような感じ
ug8FHi4I1U8-00110-00043539-00043683 で、もう
ug8FHi4I1U8-00111-00043684-00044291 胸のセンターを全部の胸につけていきましょう
ug8FHi4I1U8-00117-00045422-00045670 お尻が柔らかい
ug8FHi4I1U8-00122-00047040-00047358 これが一番好きです
ug8FHi4I1U8-00127-00048655-00048886 みじんででHPGのが
ug8FHi4I1U8-00128-00048887-00049035 ねこうせ
ug8FHi4I1U8-00131-00049712-00050129 寝る前におへそを背中で ぷっと息をつけて
ug8FHi4I1U8-00133-00050288-00050483 かばると教えてください
ug8FHi4I1U8-00137-00051011-00051369 ボイドを床と平行して移動するようにしていきます
ug8FHi4I1U8-00138-00051370-00051578 欲しさはないように
ug8FHi4I1U8-00139-00051579-00051802 そして中に引き込みますね
ug8FHi4I1U8-00146-00053319-00054112 割り出しながら、今すごく多いんですね。 こちらの前に流れてらっしゃるのがすごく多いので
ug8FHi4I1U8-00156-00056679-00057077 ゆっくりと練習をしてみると
ug8FHi4I1U8-00161-00058762-00058912 そのようにですね
ug8FHi4I1U8-00162-00058913-00059403 今の4つもう一回いきますよ簡単に
ug8FHi4I1U8-00164-00059737-00060299 足を2個目大きくして壁に近づいて手を
ug8FHi4I1U8-00165-00060300-00060609 おし
ug8FHi4I1U8-00166-00060610-00061442 足全体後ろ側伸ばすやつそしたら今度はその足を頬にかけて四の足で今度お尻を後ろに
ug8FHi4I1U8-00168-00061636-00061871 いいよ、自分さえ僕は。
ug8FHi4I1U8-00169-00061872-00062263 手で足の甲を持って膝頭を伸ばします。
ug8FHi4I1U8-00171-00062710-00063516 この4つを左右 これをできれない
ug8FHi4I1U8-00173-00063911-00064115 一時、さっそくしていくわ、こういうふうにする。
ug8FHi4I1U8-00174-00064116-00064963 一方、2週間後には必ずこのぐらいだった方もここまで家が届くようになっていって、
ug8FHi4I1U8-00176-00065042-00065344 コストが出れないようにやってみてください
ug8FHi4I1U8-00177-00065345-00065666 冷え性も改善するし
ug8FHi4I1U8-00178-00065667-00065968 あと骨盤の歪みも改善しますし
ug8FHi4I1U8-00180-00066118-00066423 もう単にね、ティーフとバンタリー
ug8FHi4I1U8-00181-00066424-00066828 ぜひこの4分間1日3セット
ug8FHi4I1U8-00182-00066829-00067110 ぜひやってみてください
ug8FHi4I1U8-00183-00067111-00067427 ありがとうございました
ulW8UUe_Io0-00000-00000002-00000274 ありましたありましたありましたありました
ulW8UUe_Io0-00001-00000275-00000637 反対運動の連中がですね
ulW8UUe_Io0-00002-00000638-00001123 カメラを向けているとですねもうあいつあいつだみたいな感じでちょっとねこっちを見てますよ
ulW8UUe_Io0-00003-00001124-00001676 この辺の運動家の人たちが襲撃をしようとするということを言っているんですよね
ulW8UUe_Io0-00004-00001677-00001929 あ、もう聞いてもいいし…稲妻さん
ulW8UUe_Io0-00005-00001930-00002234 このまま突っ込んで襲撃足りないですか?
ulW8UUe_Io0-00008-00002553-00002848 多分
ulW8UUe_Io0-00009-00002849-00003233 井上さん自ら取材交渉へしかし
ulW8UUe_Io0-00010-00003234-00003345 このままだとに
ulW8UUe_Io0-00011-00003346-00003740 検討判断し一旦撤収は
ulW8UUe_Io0-00012-00003742-00004218 持ち上がるみたいなね一人二人立ち上がってそしてこうなんかね
ulW8UUe_Io0-00013-00004219-00004796 敵をむき出しにしてきて、かなり、あの、こう、 空爆した感じになりますんでですね。
ulW8UUe_Io0-00014-00004797-00005045 ちょっとこのあたりで
ulW8UUe_Io0-00016-00005943-00006368 こちらが名護警察署の前にいます
ulW8UUe_Io0-00017-00006369-00007009 ニュース女子収録当日基地建設反対する市民グループが抗議活動を行っていた
ulW8UUe_Io0-00018-00007011-00007154 のがこの場所です
ulW8UUe_Io0-00019-00007155-00007661 これよりかはるか先の場所からリポーターの井上さんが取材当初に行く
ulW8UUe_Io0-00020-00007662-00007941 そしてこちらに向かって歩いてくる場面が実際の場面です
ulW8UUe_Io0-00021-00007942-00008394 の目には映されていました一体この場所でどんな交渉があったのか果たして交渉を
ulW8UUe_Io0-00022-00008395-00008439 どうか
ulW8UUe_Io0-00023-00008440-00008769 どんな話し合いがあったのかどんな接触があったのか
ulW8UUe_Io0-00024-00008770-00009159 そして井上さんはこの判定されるグループに同活されたのか
ulW8UUe_Io0-00025-00009160-00010494 あるいは何かの脅迫をされたのか実際この現場にいた方に話を聞いてきました
ulW8UUe_Io0-00027-00010750-00011200 こっちの方にいたみたいなんですけど全然
ulW8UUe_Io0-00028-00011201-00011743 知らなかったよってしたこと顔も見てない
ulW8UUe_Io0-00029-00011744-00012508 本当にこうやって捉えてたんだなってあれ見て初めて見たぐらい
ulW8UUe_Io0-00030-00012509-00012739 電波で撮られて コートカメラを遠目で撮られて
ulW8UUe_Io0-00032-00013105-00013590 仙台交渉ですとか、あるいはそうしたメディアとパーランダーのコナクションのメーカーに
ulW8UUe_Io0-00034-00013781-00014197 それはないです。
ulW8UUe_Io0-00035-00014199-00015016 チャンネルさくらだと思われる人たちが1回来ましたけどもそれは遠くから
ulW8UUe_Io0-00037-00015275-00015511 打ちしてて
ulW8UUe_Io0-00039-00015735-00016001 10m以上上がるとは思ったらあれ
ulW8UUe_Io0-00042-00016613-00017452 いやいや全く取材工場行きませんよあの向こうのね金井和子所のそばに金井秀というスーパー
ulW8UUe_Io0-00043-00017453-00018109 地元のスーパーだけどねまあ公園の間にそこにずっと車止まってこの
ulW8UUe_Io0-00045-00018165-00018287 してたんですよ
ulW8UUe_Io0-00046-00018288-00018902 警戒するだけで来ておりませんよ。あの反対側からは見たかもしれんけど、その
ulW8UUe_Io0-00047-00018903-00019322 あの取材交渉の気持ちあの番組を見ますと
ulW8UUe_Io0-00048-00019323-00019819 皆さんに何か脅されたドーテツみたいな感じになりますけども
ulW8UUe_Io0-00049-00019820-00020249 そんなことはないですねそもそも主事公証にもこんなことはない
vD5Ryw920UU-00001-00000056-00000399 城西の新店来ました。
vD5Ryw920UU-00002-00000400-00000678 あっちにハントレスを発見したぞ
vD5Ryw920UU-00003-00000679-00001019 来たわ
vD5Ryw920UU-00004-00001019-00001447 反対回しに行くぞ
vD5Ryw920UU-00005-00001448-00001948 堕落でまだ回せてねー
vD5Ryw920UU-00006-00001948-00002357 やっと堕落なし見つけた
vD5Ryw920UU-00007-00002358-00002987 ごめんよ、みん。
vD5Ryw920UU-00008-00002988-00003155 全然回せてない
vD5Ryw920UU-00009-00003156-00003653 開幕地下はまずいな。
vD5Ryw920UU-00010-00003654-00004338 デッドロックあるのかー。
vD5Ryw920UU-00011-00004339-00004614 まずい追われてる
vD5Ryw920UU-00012-00004615-00005151 先に降りされた。
vD5Ryw920UU-00013-00005152-00005699 鹿に行ったりは絶望的だ。
vD5Ryw920UU-00014-00005700-00005975 鳥だけでも救助したいけど、俺言うよないの?
vD5Ryw920UU-00015-00005976-00006313 だよね
vD5Ryw920UU-00016-00006314-00006634 パキンってくれてた
vD5Ryw920UU-00017-00006634-00007923 ここは欲張らずにロンを逃がそう。お。
vD5Ryw920UU-00018-00007925-00008489 そういやおりゃあいいるた
vD5Ryw920UU-00019-00008490-00009054 全府省が支給所に来れないと思うだろ?
vD5Ryw920UU-00020-00009055-00009236 今がチャンス
vD5Ryw920UU-00022-00009408-00009670 ベストタイミング俺
vD5Ryw920UU-00023-00009671-00009931 ありがとうバスケス
vD5Ryw920UU-00024-00009932-00010218 急いで出よう戻ってくるぞ
vD5Ryw920UU-00025-00010219-00010664 うわ、どこから降りてきやがった。
vD5Ryw920UU-00026-00010665-00010939 シェリルがんばれ。
vD5Ryw920UU-00027-00010940-00011352 瓶を起こすか一山治療するか
vD5Ryw920UU-00030-00012293-00012442 2ダウンに負傷
vD5Ryw920UU-00031-00012443-00013663 これはヤバすぎる。
vD5Ryw920UU-00032-00013665-00013981 シェリル注射器で起き上がってくれその間に
vD5Ryw920UU-00033-00013982-00014877 他の人を起こすんだわ
vD5Ryw920UU-00035-00015608-00015871 ここでダウンを取られたらさっきの2の間に
vD5Ryw920UU-00036-00015872-00016536 おめでとうございます。
vD5Ryw920UU-00037-00016537-00017225 今この固有をチェックしてるはず。
vD5Ryw920UU-00039-00018180-00018673 いましたねー
vD5Ryw920UU-00041-00019018-00019832 アイニルがいい仕事してくれてるぜ。
vD5Ryw920UU-00042-00019833-00020149 言うよないけど許してくれな
vD5Ryw920UU-00044-00020787-00021103 どっか一緒に入って2V1する?えぇ?
vD5Ryw920UU-00046-00021228-00021801 ぬお、他の仲間も来てくれてたのか。
vD5Ryw920UU-00048-00021912-00022127 道理はうまく逃げたんだな?
vD5Ryw920UU-00049-00022128-00022372 それなら地下に釣られない場所まで、
vD5Ryw920UU-00050-00022373-00022569 次回
vD5Ryw920UU-00051-00022570-00022677 はっや
vD5Ryw920UU-00052-00022678-00022867 ヒカじゃねぇか
vD5Ryw920UU-00055-00023549-00023854 よっしゃ、近じゃないけど。ここも微妙じゃ。
vD5Ryw920UU-00056-00023855-00023944 ないか
vD5Ryw920UU-00057-00023945-00024546 しかも出っ歯あるの忘れてたぜ。
vD5Ryw920UU-00058-00024547-00025182 これで体勢立て直せたらいいけどどうだ?
vD5Ryw920UU-00059-00025183-00025368 シェリルありがとう
vD5Ryw920UU-00060-00025369-00026287 犬よ入ってるから頑張ってわかった
vD5Ryw920UU-00062-00026464-00026800 手をの補充してるバスケス助けに来たわ
vD5Ryw920UU-00063-00026801-00027189 ええ?あなたは女神様ですか?
vD5Ryw920UU-00064-00027189-00027429 このタイミングで来てくれるなんて
vD5Ryw920UU-00065-00027430-00027783 愛好すぎるだろー
vD5Ryw920UU-00066-00027784-00028457 俺もやっと発電に参加できるぞ。
vD5Ryw920UU-00067-00028458-00029671 治療ありがとな
vD5Ryw920UU-00068-00029672-00029964 発電機異像巻き返してる
vD5Ryw920UU-00070-00030807-00032125 斧補充中に救助したか?
vD5Ryw920UU-00071-00032126-00032437 いいぞなすっても地雷爆破あるから誰か
vD5Ryw920UU-00072-00032438-00033227 え?
vD5Ryw920UU-00073-00033228-00033470 なんで今の当たんないの?
vD5Ryw920UU-00075-00034243-00035135 テオの補充中に発電だ。
vD5Ryw920UU-00076-00035136-00035479 ちまったデッドロックだった。
vD5Ryw920UU-00078-00036013-00037177 他の仲間が見つかったな。
vD5Ryw920UU-00079-00037178-00038011 ごめんな先に通電させる。
vD5Ryw920UU-00080-00038012-00038385 ここに釣る?
vD5Ryw920UU-00081-00038386-00038514 いや違うな
