c9wg9nmod64-00000-00000048-00000316 寝たらスマホを出たいんだけど。来年。
d-DAxqWcTI8-01738-00619493-00619988 いつもそうだ
d-DAxqWcTI8-01745-00621617-00621931 経済寿司を途中のダムだからなんだか
d-DAxqWcTI8-01746-00621932-00622281 演説中あの建設は終わってるけど
d-DAxqWcTI8-01747-00622282-00622532 実用してなかった
d-DAxqWcTI8-01748-00622533-00622884 ダムか年間をやつぶっつけ本番で
d-DAxqWcTI8-01749-00622885-00623331 使ってみたっけめちゃくちゃいい仕事をしたみたいな話を見たよ
d-DAxqWcTI8-01750-00623332-00624133 朝いいねぇすげーじゃん
d-DAxqWcTI8-01751-00624134-00624958 ダメやでしょ
d-DAxqWcTI8-01753-00625417-00625705 これくるわっと
d-DAxqWcTI8-01754-00625706-00625992 黒マットうまくない
d-DAxqWcTI8-01756-00626642-00627276 でしょう
d-DAxqWcTI8-01761-00628047-00628252 理解してない
d-DAxqWcTI8-01762-00628253-00628591 ところが
d-DAxqWcTI8-01763-00628592-00628723 よし
d-DAxqWcTI8-01764-00628724-00629008 黒バットねー
d-DAxqWcTI8-01765-00629009-00629139 でしょうか
d-DAxqWcTI8-01767-00629340-00629512 ちゃん g キター
d-DAxqWcTI8-01770-00629974-00630285 姫のかぎわる中な
d-DAxqWcTI8-01771-00630286-00630826 作者さんが書いてるポケモンカードになったわけっていう本があって
d-DAxqWcTI8-01772-00630827-00631362 それにあるチョンチーとダイバーの話がめっちゃ好き
d-DAxqWcTI8-01785-00644098-00644595 トンチ好きなあまり無言で無言で書きすすっていうのを
d-DAxqWcTI8-01786-00644596-00644832 取り勢を起こしました
d-DAxqWcTI8-01787-00644833-00645100 愛してるんですか
d-DAxqWcTI8-01788-00645101-00645285 ちゅんちゅかわいいじゃないですか
d-DAxqWcTI8-01789-00645286-00645586 分かりますよね 分からない人は死刑です
d-DAxqWcTI8-01790-00645587-00646498 あとで終わりに行きなさい
d-DAxqWcTI8-01791-00646499-00647849 チョンチーはねマジで可愛い
d-DAxqWcTI8-01799-00655556-00656134 ちょうだいねもうすべての音を拾ってくるからねこの声
d-DAxqWcTI8-01800-00656135-00656635 ご来客でしたよご来客
d-DAxqWcTI8-01801-00656636-00657045 でしょう
d-DAxqWcTI8-01804-00657711-00658030 もう覚えてないよ
d-DAxqWcTI8-01805-00658031-00658249 俺が
d-DAxqWcTI8-01808-00659489-00659875 後ろの扇風機の友人が撮ってるもん
d-DAxqWcTI8-01809-00659876-00660127 とにへ
d-DAxqWcTI8-01815-00663625-00663910 これがチョンチ
d-DAxqWcTI8-01816-00663911-00664125 トンチ可愛いんだってマジで
d-DAxqWcTI8-01817-00664126-00664437 詳しくは
d-DAxqWcTI8-01818-00664438-00665014 ポケモンカードになったわけ 姫の影丸
d-DAxqWcTI8-01819-00665015-00665258 咲く花
d-DAxqWcTI8-01820-00665259-00665514 ちょっとよく覚えてないけど
d-DAxqWcTI8-01823-00665906-00666225 いいよめっちゃいいよこの話
d-DAxqWcTI8-01824-00666226-00666449 あるんだそのスキュー
d-DAxqWcTI8-01826-00666651-00667246 海のポケモンを守るダイバーかなんかの女の人とちょんちーの話みたいな
d-DAxqWcTI8-01827-00667247-00668481 あるんだ行ってくれよしちょん
d-DAxqWcTI8-01830-00669071-00669770 あれに対してさ、ランタン愛の愛情はなさせないんだよね
d-DAxqWcTI8-01831-00669771-00670199 さっきの話さあとランタンもいいんで
d-DAxqWcTI8-01832-00670200-00670795 ランタンも活躍するし
d-DAxqWcTI8-01833-00670796-00671347 ランタンも活躍するしいいんだけどランタンを書こうとするとどうやっても
d-DAxqWcTI8-01834-00671348-00671594 立ての靴下みたいななんか
d-DAxqWcTI8-01835-00671595-00671749 感じる
d-DAxqWcTI8-01838-00673193-00673840 ドキンちゃん
d-DAxqWcTI8-01841-00675753-00675954 だからお前でしょ
d-DAxqWcTI8-01843-00676252-00676571 あれは学習することを知らぬか
d-DAxqWcTI8-01844-00676572-00676859 以上
d-DAxqWcTI8-01847-00677282-00677587 フェットモンスター2か
d-DAxqWcTI8-01848-00677588-00677922 赤の画面がパソコンですよ
d-DAxqWcTI8-01849-00677923-00678255 怖いんだよあのデジモンのね
d-DAxqWcTI8-01851-00678455-00678683 おもちゃを持ってたんだけど
d-DAxqWcTI8-01852-00678684-00678963 それを
d-DAxqWcTI8-01854-00679068-00679398 ガオモンとか
d-DAxqWcTI8-01856-00679604-00679814 持ってたんだけど
d-DAxqWcTI8-01857-00679815-00680114 学校とかから帰ってくるとさ
d-DAxqWcTI8-01858-00680115-00680317 死んでんのよ
d-DAxqWcTI8-01860-00680519-00680902 ちっちゃい時さ
d-DAxqWcTI8-01861-00680903-00681199 あの
d-DAxqWcTI8-01862-00681200-00681449 夜とばにさ、体壊してさ
d-DAxqWcTI8-01863-00681450-00681902 緊急病院とかさ連れてってもらってたからさ
d-DAxqWcTI8-01865-00682004-00682407 持ってるのさあの好きだからねデジモンのおもちゃが
d-DAxqWcTI8-01866-00682408-00682670 あの
d-DAxqWcTI8-01867-00682671-00682971 すげぇ加えられるといいですよ死んでんの?
d-DAxqWcTI8-01870-00683376-00683541 夫で
d-DAxqWcTI8-01871-00683542-00683980 真っ黒の画面のパソコンが映し出されているの
d-DAxqWcTI8-01872-00683981-00684600 当時は意味わかんなくて怖かったけど今意味がわかって怖い
d-DAxqWcTI8-01873-00684601-00684879 デジタルモンスターだから
d-DAxqWcTI8-01876-00685193-00685576 って感じなのかな死んじゃってるっていう表現
d-DAxqWcTI8-01878-00685819-00686362 子供に見せる将棋じゃないよね
d-DAxqWcTI8-01880-00686507-00687281 簡単です
d-DAxqWcTI8-01881-00687282-00687665 ピチュー
d-DAxqWcTI8-01883-00687809-00688018 7回で終わりです
d-DAxqWcTI8-01884-00688019-00688319 m カーチたいっ
d-DAxqWcTI8-01885-00688320-00689547 おくとです
d-DAxqWcTI8-01892-00693242-00693525 ええなさ
d-DAxqWcTI8-01893-00693526-00694500 わかんねーよ
d-DAxqWcTI8-01894-00694501-00694958 こんな感じかな
d-DAxqWcTI8-01896-00695595-00696439 一応私がこう思って
d-DAxqWcTI8-01898-00696660-00697486 乗ってきた感じがこう
d-DAxqWcTI8-01899-00697487-00697745 上でいいのかお前
d-DAxqWcTI8-01901-00698883-00699435 中のコッケがピンク色
d-DAxqWcTI8-01903-00699716-00700448 色だっつってねこれだね
d-DAxqWcTI8-01904-00700449-00700979 何だっけ?ピチューも映画でしたよね
d-DAxqWcTI8-01905-00700980-00701212 いつもだっけ
d-DAxqWcTI8-01906-00701213-00701348 あの
d-DAxqWcTI8-01907-00701349-00701706 映画のおまけにさ、ついてくるさ
d-DAxqWcTI8-01908-00701707-00702177 短編映画みたいなやつあそこにデータに寄せる
d-DAxqWcTI8-01910-00702303-00702834 あれピカチュウたちがとか言われるタイプの
d-DAxqWcTI8-01913-00703166-00703471 大捜査船?あ?踊る大捜査船と混ざった
d-DAxqWcTI8-01914-00703472-00703816 踊るポケモン秘密基地とかじゃなくてさ
d-DAxqWcTI8-01919-00705598-00705741 怖いなって
d-DAxqWcTI8-01921-00706219-00706478 長人の声でね
d-DAxqWcTI8-01922-00706479-00706892 ねえ一応立場の
d-DAxqWcTI8-01924-00707608-00707912 これポケモン秘密機じゃねぇ
d-DAxqWcTI8-01925-00707913-00708202 ドルボカンは秘密基地も懐かしいよね
d-DAxqWcTI8-01929-00709608-00710218 うん。
d-DAxqWcTI8-01930-00710219-00710478 大隣のあんた
d-DAxqWcTI8-01933-00710763-00711234 あっているとてるかん
d-DAxqWcTI8-01936-00712453-00712771 この気中と
d-DAxqWcTI8-01938-00713108-00713263 思いっきり言うと
d-DAxqWcTI8-01939-00713264-00713737 踊るポケモン秘密基地を
d-DAxqWcTI8-01940-00713738-00713881 バックに
d-DAxqWcTI8-01941-00713882-00714197 終わりますね
d-DAxqWcTI8-01943-00714498-00714743 お疲れ様でした。
d-DAxqWcTI8-01946-00715315-00715831 とかおりかおとかおなりのバンタン
d-DAxqWcTI8-01947-00715832-00716389 それか、踊るか踊るか、勝手に踊ってるか?
dCGCif4Xj2E-00000-00000056-00000526 はじめまして、水波はちずれと言います。
dCGCif4Xj2E-00001-00000527-00000952 彼の気分を俺の前に 現れたのは
dCGCif4Xj2E-00002-00000953-00001112 う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、う、
dCGCif4Xj2E-00004-00001900-00003067 レッドカラーエッグ!レッドカラーエッグ!電風のクローション?発送のよう!エンディマックス特化サーバー!
ddJDKfM9MPk-00017-00015887-00016208 ご視聴ありがとうございました
ddJDKfM9MPk-00018-00016209-00016498 はい
dfARglrxZuU-00001-00000570-00000844 いや、健三。なやす。
dfARglrxZuU-00002-00000846-00001127 信用時代の罰を課し
dfARglrxZuU-00004-00001259-00001541 冷たく言うのか?
dfARglrxZuU-00010-00003870-00004115 こんなのに
dfARglrxZuU-00014-00004518-00004693 ここ
dfARglrxZuU-00016-00004878-00005518 この環境この条件のみを利用する
dfARglrxZuU-00017-00005519-00006277 当たって
dfARglrxZuU-00018-00006278-00006748 人救いの水でも私が手にしたならば
dfARglrxZuU-00022-00014731-00015063 風は男らしく戦おうとする
dfARglrxZuU-00025-00016008-00016372 二人は今ここで何をしてるんだろうし
dfARglrxZuU-00026-00016373-00016577 アジアの人よ
dfARglrxZuU-00028-00017016-00017279 アシュコルトガイア全
dfARglrxZuU-00029-00017280-00018271 存在を総動員した生き残り
dfARglrxZuU-00030-00018272-00019114 一体どうだったかわからない
dfARglrxZuU-00035-00024714-00025169 時間にこそ恐怖
dxNlJ9nHf7Q-00000-00000053-00000550 こんにちは、アブです。今日はですね、誰でもできる貯金術5000という話をしていきますね。
dxNlJ9nHf7Q-00001-00000551-00000684 皆さん貯金してますか
dxNlJ9nHf7Q-00002-00000685-00001285 僕も学生時代プラス社会人になった時 新入社員時代ってすごく
dxNlJ9nHf7Q-00003-00001286-00001705 困窮しながらお金が少ない中で生活していました
dxNlJ9nHf7Q-00004-00001705-00002054 貧乏生活ですね貧乏生活を経て年間
dxNlJ9nHf7Q-00005-00002055-00002549 年間で100万円ぐらい貯金したんですけども手取り16万円で
dxNlJ9nHf7Q-00006-00002550-00002885 100万円の貯金を作ったんですけどもその時に使った
dxNlJ9nHf7Q-00007-00002886-00003374 貯金率というのを5つ具体例を加えながら今日はお話ししていきます
dxNlJ9nHf7Q-00008-00003375-00003677 なかなかチェキンって難しいじゃないですか
dxNlJ9nHf7Q-00009-00003678-00003988 したりしたりと思いながら結構使っちゃったりだとか
dxNlJ9nHf7Q-00010-00003989-00004382 やっぱり貯金したいなと思いながらもやりながら
dxNlJ9nHf7Q-00011-00004383-00004548 全然できないなっていう風に思ってるし
dxNlJ9nHf7Q-00012-00004549-00005055 こともありますよね今日はそういった経験をもとにおすすめの貯金率5000をお話しします
dxNlJ9nHf7Q-00013-00005056-00005382 僕のチャンネルではこうしたお金の話をやっているとか
dxNlJ9nHf7Q-00014-00005383-00005904 またフリーランスとして副業、仕事を分散していく
dxNlJ9nHf7Q-00015-00005905-00006333 一緒に分散するって話だとか、あとコストパフォーマンスのいい生活とか、
dxNlJ9nHf7Q-00016-00006334-00006550 例えば福岡で月80
dxNlJ9nHf7Q-00017-00006551-00006994 前に生活するような生活の方法 についてまとめていますよかったらチャンネル登録を
dxNlJ9nHf7Q-00018-00006995-00007147 チャンネル登録お願いします
dxNlJ9nHf7Q-00019-00007148-00007813 まず一つ目今日の財テク貯金率の話なんですけどまずポイントの一つ目は生活水準を
dxNlJ9nHf7Q-00020-00007814-00008164 下げることがですこれもめちゃくちゃ当たり前だなというふうに思う方もいらっしゃる
dxNlJ9nHf7Q-00021-00008165-00008549 と思うんですけども固定費を下げるというのはすごく大事になってきます
dxNlJ9nHf7Q-00022-00008550-00009053 これって結構経営コンサルだとかも使ってる技なんですけども
dxNlJ9nHf7Q-00023-00009054-00009671 会社を立て直すときにロスカットお金を使いすぎている部分をどんどんカッチするという
dxNlJ9nHf7Q-00024-00009672-00010232 するんですよねそれと同じように家計も自分のコンサルだと思って自分が自分
dxNlJ9nHf7Q-00025-00010233-00010548 をコンサルするような形で
dxNlJ9nHf7Q-00026-00010549-00011006 いらないものをカットするということがすごく重要になってきます
dxNlJ9nHf7Q-00027-00011007-00011138 生活水準を下げる
dxNlJ9nHf7Q-00028-00011139-00011655 どういうことかというと、例えば飲み会をめちゃくちゃ行ってる人がいますと、飲み会に行くと、
dxNlJ9nHf7Q-00029-00011656-00011937 その飲み会の回数を減らすとか
dxNlJ9nHf7Q-00030-00011938-00012335 接待ゴルフっていう風になると言って接待ゴルフめちゃくちゃ言ってるけどその回数は
dxNlJ9nHf7Q-00032-00012378-00012550 どういうふうに減らすかというところを
dxNlJ9nHf7Q-00033-00012551-00012940 ポイントなんですけどもどこに一番お金を使っているかというのは収益
dxNlJ9nHf7Q-00034-00012941-00013049 すごく
dxNlJ9nHf7Q-00035-00013050-00013602 メインのポイントになります。意外と結構ね、自分がどれだけ何に対してお金を使っているか、
dxNlJ9nHf7Q-00037-00013678-00014097 いまいち分かってないっていう人が多いんですよね僕も分かってなくて
dxNlJ9nHf7Q-00038-00014097-00014633 何のお金を使っているんだろうすごく考えることがあってそういったときにいる
dxNlJ9nHf7Q-00039-00014634-00015049 調べて自分が何に使っているのか書き出すというのがポイントになっています
dxNlJ9nHf7Q-00040-00015050-00015565 2つ目のポイントなんですけれども、2つ目のポイントは、資質をすべてかき出していく。
dxNlJ9nHf7Q-00042-00015622-00016051 1ヶ月に何にどれくらい使っているのか皆さんどれくらい把握していますか
dxNlJ9nHf7Q-00043-00016052-00016609 例えばジムに行ってるよとか例えば 霊化合宿行ってるよとか例えば
dxNlJ9nHf7Q-00044-00016610-00017051 謎のビジネス塾に通っているよというような形で自分の自己投資
dxNlJ9nHf7Q-00045-00017052-00017483 というのは大切なんですけれどもそれが本当に身になっているのかというのを
dxNlJ9nHf7Q-00046-00017484-00017655 書き出してみてください
dxNlJ9nHf7Q-00047-00017656-00018138 食品どれぐらいとか家賃どれぐらい 今日どれぐらいっていうふうに書き出すと
dxNlJ9nHf7Q-00049-00018217-00018783 特に栄養の紙を出して栄養の紙に過剰時で付けるというこれこれこれって
dxNlJ9nHf7Q-00051-00018909-00019457 ネイルサロンとか美容室とかっていう風な形でどんどんどんどんかけやすことによって目に見える
dxNlJ9nHf7Q-00053-00019539-00020083 目に見えた後にそれをどうカットしていくのかっていうのを考えるところですよね。
dxNlJ9nHf7Q-00054-00020084-00020297 生活水平という話に戻すと
dxNlJ9nHf7Q-00055-00020298-00020907 例えば僕の場合家賃が10万円かかってましたと。10万円かかっていただきたいから5万円の家賃に移動。
dxNlJ9nHf7Q-00056-00020908-00021348 という風に考えたりだとか順番をやられているところを
dxNlJ9nHf7Q-00057-00021349-00021855 シェアハウスというような選択肢に移動しているシェアハウスだと公立費を込み込む
dxNlJ9nHf7Q-00058-00021856-00021945 だったりとか
dxNlJ9nHf7Q-00059-00021946-00022200 あとはレイキングいらないっていうこともあってねとか
dxNlJ9nHf7Q-00060-00022201-00022697 ちょっとした単位という医療だったらすごく便利なんですよね。そういったふうに見直すという。
dxNlJ9nHf7Q-00061-00022698-00022917 すごくいいポイントです
dxNlJ9nHf7Q-00062-00022918-00023217 1つ目のポイントは正確水準を下げること
dxNlJ9nHf7Q-00063-00023218-00023819 2つ目は紙に書き出して自分が何に使っているのかを把握することという話です。次です。
dxNlJ9nHf7Q-00064-00023820-00024199 3つ目なんですけれども、3つ目がちょっと上級者向け、誰でもって話で、
dxNlJ9nHf7Q-00065-00024200-00024736 なくてよりちょっと上級者向け の話なんですが 3つ目は収入源を分散させる
dxNlJ9nHf7Q-00067-00024800-00025132 稼ぐ力を身につけるこれすごく重要になってきます
dxNlJ9nHf7Q-00068-00025133-00025699 もう本当に皆さんこのコロナ禍だとかあとは東日本大震災リマショックだとか
dxNlJ9nHf7Q-00069-00025700-00026200 してきてすごくね靴と湧いてくる気持ちがあるかなと思うんですけどもこれ何か
dxNlJ9nHf7Q-00070-00026201-00026543 っていうと個人で行きないといけないなと思ったり
dxNlJ9nHf7Q-00071-00026544-00026866 もう一度はしたんじゃないかなと思います感謝
dxNlJ9nHf7Q-00072-00026867-00027541 が自分たちを守って私たちを守ってくれるっていう時代はもうねトヨタは言ってるように
dxNlJ9nHf7Q-00073-00027542-00027952 送信声がなくなったというふうに言っているように、もうなくなってきているんですよね。
dxNlJ9nHf7Q-00074-00027952-00028492 会社が僕たちを守ってくれるっていう時代はもう今からなくなってくる
dxNlJ9nHf7Q-00075-00028493-00028639 個人の力
dxNlJ9nHf7Q-00076-00028639-00028867 自分で稼ぐ力をつけないといけない
dxNlJ9nHf7Q-00077-00028868-00029293 当てる前のように個人で稼ぐというスキルが必要になってきましたと。
dxNlJ9nHf7Q-00078-00029294-00029956 じゃあ何したらいいのかというのを今のうちから今安定だからこそ安定している今
dxNlJ9nHf7Q-00079-00029957-00030314 それからこそそういった個人で稼ぐっていう力を
dxNlJ9nHf7Q-00080-00030316-00030638 つけるっていうのはすごい大事かなというふうに思っています
dxNlJ9nHf7Q-00081-00030639-00031220 めちゃくちゃ大事ですよね僕も会社に出たら手取り16万円で生活してて
dxNlJ9nHf7Q-00082-00031220-00031592 初任期だとかって平均だいたい20万円ぐらいですよね
dxNlJ9nHf7Q-00083-00031593-00031945 そこからあのね 試合目OKだとか
dxNlJ9nHf7Q-00084-00031947-00032504 データ調子だとかっていうふうに手取りから引かれていって手取りが10億万円になるという
dxNlJ9nHf7Q-00085-00032505-00032627 話なんですけれども
dxNlJ9nHf7Q-00086-00032627-00033107 それって正直、学生の時のパイトと同じくらいの金額じゃないですか。
dxNlJ9nHf7Q-00087-00033108-00033446 僕学生の時16万円13万円とか
dxNlJ9nHf7Q-00088-00033447-00033848 15万円とかっていう風に稼いでたんですけどもそれと同じくらいだなっていう
dxNlJ9nHf7Q-00090-00034009-00034443 バイトと仕事内容は違うんですけれどもそういうふうに
dxNlJ9nHf7Q-00091-00034444-00035130 メインの仕事とプラスして別の仕事を持っておけば例えばサムバイトのようにもう一つの
dxNlJ9nHf7Q-00092-00035131-00035517 もう一つの軸を作っておけば16万円と15万円で
dxNlJ9nHf7Q-00093-00035518-00036045 31万円くらいになりますよねというふうに2つの軸を作るとすごく便利になります
dxNlJ9nHf7Q-00094-00036046-00036442 あえてスキルを勉強してとかサイト制作とか
dxNlJ9nHf7Q-00095-00036443-00036742 言ってる動画編集とかサイト制作 ライティング
dxNlJ9nHf7Q-00096-00036743-00037291 ブログ、YouTubeというような形でいろいろとスキルを持つことによって稼ぐ力を
dxNlJ9nHf7Q-00097-00037292-00037972 スキルを身につけておくっていうのは今後大事なので、これを3つ目のポイントに押さえた。
dxNlJ9nHf7Q-00098-00037973-00038065 おきまして
dxNlJ9nHf7Q-00099-00038066-00038464 自分の力 稼ぐ力をつけておくというのが3つ目のポイントです
dxNlJ9nHf7Q-00100-00038465-00039082 次、4つ目。4つ目何かというと、長期スキルを身につけることです。ここからはより高いスキルを身につけることです。
dxNlJ9nHf7Q-00101-00039083-00039367 の話になってくるんですけども長期スキルを身につけた僕
dxNlJ9nHf7Q-00102-00039368-00039973 長期で使えるスキルストックできるスキルですねこれ何かって例えば最近でいくと
dxNlJ9nHf7Q-00104-00040055-00040402 もう一つは英語、コンピューターのスキルだとか
dxNlJ9nHf7Q-00106-00040463-00040948 とかファインティングのスキルっていうのはもう長期で必要になってくる個人で仕事をする
dxNlJ9nHf7Q-00107-00040949-00041310 フリーランスになるっていう上ではめちゃくちゃ大事になりますよね
dxNlJ9nHf7Q-00108-00041311-00041886 これ何が大事かっていうと英語ってずっと前から必要必要と言われてるじゃないですか
dxNlJ9nHf7Q-00109-00041887-00042342 コロナの影響で外国人が来なくなっている。
dxNlJ9nHf7Q-00110-00042343-00042801 海外に行けなくなったということもあるんですけども今後5年10年というスパンを
dxNlJ9nHf7Q-00111-00042802-00043187 日本の少子高齢化っていうのは絶対避けられないことで
dxNlJ9nHf7Q-00112-00043188-00043646 必ず日本の人口って減っていくんですよねもうこれはもうね
dxNlJ9nHf7Q-00113-00043647-00044243 先がいない人生で1億2千6百万人いる中からどんどん運が減っていってそしたら思うね
dxNlJ9nHf7Q-00114-00044244-00044777 税収も減ってきますし高齢化という形で社会保障もどんどん上がっている時代になっています
dxNlJ9nHf7Q-00116-00044832-00045186 そうなってきたら今後のことを見るとやっぱり海外を
dxNlJ9nHf7Q-00117-00045187-00045651 見るっていうのは必須になってくるので英語のスキルはまあまあ必要だよねと
dxNlJ9nHf7Q-00118-00045652-00046152 プラスは僕がお勧めしているのは海外の情報を日本に持ってくるということを
dxNlJ9nHf7Q-00120-00046219-00046659 タイムマシンビジネスってよく言われたりするんですけれどもアメリカからビジネス
dxNlJ9nHf7Q-00121-00046660-00047175 モデルを持ってきて 成功してる ビジネスモデルを持ってきて日本に
dxNlJ9nHf7Q-00122-00047176-00047654 日本で根付かせるというモデルなんですよねこれはどういった例えがあるか
dxNlJ9nHf7Q-00124-00047843-00048361 トヨタの車というのはもともとアメリカのクライスターの車を模倣して作ったと。
dxNlJ9nHf7Q-00126-00048404-00048910 そこから日本一の車になってしまいましたそれというような例とか
dxNlJ9nHf7Q-00127-00048911-00049322 例えば日本SNS、Facebook、Instagram
dxNlJ9nHf7Q-00128-00049323-00049721 ツイッターとかYouTubeもそうですねそれともアメリカンシリコンバレー
dxNlJ9nHf7Q-00129-00049722-00050027 出身の次元のビジネスモデルでしたね
dxNlJ9nHf7Q-00130-00050028-00050531 そこはそのまま日本に入ってきて海外で流行ったものがそのまま日本に入ってきて
dxNlJ9nHf7Q-00131-00050532-00050798 日本風にアレンジされてヒットするという
dxNlJ9nHf7Q-00132-00050799-00050971 往々にあり得ることだね
dxNlJ9nHf7Q-00133-00050972-00051336 例えばタクシーのナンバーワンのパジェット、ウーバーとか、メールで、
dxNlJ9nHf7Q-00134-00051337-00051888 宿泊業界へ行くとAirbnbとか他にもいろんな会社が日本に入ってきて
dxNlJ9nHf7Q-00135-00051889-00051948 ますよね
dxNlJ9nHf7Q-00136-00051949-00052251 イオンももともと
dxNlJ9nHf7Q-00137-00052252-00052620 チェーンスター理論をアメリカから持ってきてとかウォルマートを
dxNlJ9nHf7Q-00138-00052621-00053028 のモデルをそのまま持ってきて とかっていうふうにアメリカから
dxNlJ9nHf7Q-00139-00053029-00053559 海外からのビジネスがどんどん来ています。そういった意味で英語を学んで、英語で得たものを学んで、
dxNlJ9nHf7Q-00140-00053560-00054162 知識をもとに日本でそれをアレンジして使うというのはすごく便利です
dxNlJ9nHf7Q-00141-00054163-00054253 スイートドコーディスキ
dxNlJ9nHf7Q-00142-00054254-00054814 これもう長期で使えるスキルですよねこれ今すぐ英語を勉強したからといってイコール
dxNlJ9nHf7Q-00143-00054815-00054958 今すぐ稼げるとか
dxNlJ9nHf7Q-00144-00054959-00055315 英語を勉強したからそのまま
dxNlJ9nHf7Q-00145-00055316-00055747 いいバイトにつけるというわけではないじゃないですか就職であればトイック
dxNlJ9nHf7Q-00146-00055748-00056119 がメインですけどもそういった トイックを勉強してとかっていうこと
dxNlJ9nHf7Q-00148-00056252-00056392 長期目線で
dxNlJ9nHf7Q-00149-00056393-00056959 10年20年というスパンで考えたときに英語のスキルってめっちゃ必要だよねと思って
dxNlJ9nHf7Q-00150-00056960-00057583 勉強するというのはめちゃくちゃ貯金率にも当てはまる長期で使う貯金率って
dxNlJ9nHf7Q-00151-00057584-00058126 なんて言ったらいいかというと長期で考えることですよね
dxNlJ9nHf7Q-00152-00058127-00058186 稼げる
dxNlJ9nHf7Q-00153-00058187-00058395 例えば日雇いとかコンビニのバイトって
dxNlJ9nHf7Q-00154-00058396-00058854 稼げるじゃないですか1万円とか時給だと1000円とかっていう風に夜勤だとね
dxNlJ9nHf7Q-00155-00058854-00059111 1000枠を2000という風になるじゃないですかね
dxNlJ9nHf7Q-00156-00059112-00059546 そうなってくるような短期で稼げる仕事っていうのは山ほどあるんですよね
dxNlJ9nHf7Q-00157-00059547-00060050 それも長期でどれだけ10年スパンぐらいで自分のスキルとして身につけられて
dxNlJ9nHf7Q-00158-00060051-00060557 長く見る
dxNlJ9nHf7Q-00159-00060558-00060974 スキルを身につけるというのが必要かなというところを4つ目にスキルを身につける
dxNlJ9nHf7Q-00162-00061111-00061590 5つ目なんですけれども、5つ目はですね、日本以外の選択肢を持つことです。
dxNlJ9nHf7Q-00163-00061591-00061976 これ、先ほども言ったんですけども、少子高齢化。
dxNlJ9nHf7Q-00164-00061977-00062456 終身雇用終わってますという話がありましたよねそれと同じようにやっぱりどんどん
dxNlJ9nHf7Q-00165-00062457-00062816 日本以外が選択肢を持つというのはコロナ禍
dxNlJ9nHf7Q-00166-00062817-00063112 以後も必ず必要になってくるって感じです
dxNlJ9nHf7Q-00167-00063113-00063628 日本の人口が減っていって税収も減るというところを見るとやっぱり日本以外の選択肢が
dxNlJ9nHf7Q-00168-00063629-00064154 自分が選べるような状況になっておくのがいいのかなというところです
dxNlJ9nHf7Q-00170-00064308-00064510 日本語
dxNlJ9nHf7Q-00171-00064511-00065119 会社を設立するよりも海外で会社を設立すると税金の優遇があったというような
dxNlJ9nHf7Q-00172-00065120-00065238 話もありますよね
dxNlJ9nHf7Q-00173-00065239-00065824 とか日本だとコストコ本が8万円で生活できますよって話があるんですけども
dxNlJ9nHf7Q-00174-00065825-00066043 家賃5万円から6万円くらいの
dxNlJ9nHf7Q-00175-00066044-00066509 部屋で住むことが多いんですけどもそこ以外で住むっていうところもできますし
dxNlJ9nHf7Q-00176-00066510-00066867 例えばジョージア 僕がよく言っていたジョージアとか
dxNlJ9nHf7Q-00177-00066868-00067236 フィリピンよく行ってたんですけどもフィリピンだとブックがめちゃくちゃ安いので
dxNlJ9nHf7Q-00178-00067237-00067701 するとこれで生活すると日本以外の選択肢をあんまん
dxNlJ9nHf7Q-00179-00067702-00068310 なんとなくでいいんで、持っておく。知っておくっていうところでいくと、今後も生きやすい。
dxNlJ9nHf7Q-00180-00068311-00068869 のかなってところを5つ目に挙げてみました 貯金って話をしているんですけども
dxNlJ9nHf7Q-00181-00068870-00069370 いろいろと貯金術お話ししていたんですけれども一つ目が生活
dxNlJ9nHf7Q-00183-00069500-00070171 2つ目は資質を紙に書き出すこと。3つ目は稼ぐ力を身につけて、8つ目は長期でスキルを
dxNlJ9nHf7Q-00184-00070172-00070792 思って10年スパンで考える5つ目に最終的には海外っていう選択肢も持ちながら
dxNlJ9nHf7Q-00186-00070869-00071276 どこでも移動できるような状態にしておくというところをお話ししてきました。いかがだったでしょうか。
dxNlJ9nHf7Q-00187-00071277-00071366 でしょうか
dxNlJ9nHf7Q-00188-00071367-00071951 誰でもできるという話から、上級者に向けての話をしていきました。
dxNlJ9nHf7Q-00189-00071952-00072563 月100万円貯金した話からずれたことも言っているんですけれども、
dxNlJ9nHf7Q-00191-00072648-00072867 スパンっていうかね長期目線に考える
